item_id,family,edit_op,slice_1,slice_2,slice_3,slice_4,fp_A__n_words__s1,fp_B__n_words__s1,fp_A__n_chars__s1,fp_B__n_chars__s1,fp_A__n_sents__s1,fp_B__n_sents__s1,fp_A__mean_sent_len__s1,fp_B__mean_sent_len__s1,fp_B__lex_div__s1,fp_B__is_json__s1,fp_A__has_bullets__s1,fp_B__has_bullets__s1,fp_A__n_bullets__s1,fp_B__n_bullets__s1,fp_A__says_idk__s1,fp_B__says_idk__s1,fp_B__refuses__s1,fp_A__n_hedges__s1,fp_B__n_hedges__s1,fp_A__n_first_person__s1,fp_B__n_first_person__s1,fp_A__n_questions__s1,fp_B__n_questions__s1,fp_A__n_digits__s1,fp_A__caps_ratio__s1,fp_B__caps_ratio__s1,fp_A__n_newlines__s1,fp_B__n_newlines__s1,fp_A__n_words__s2,fp_B__n_words__s2,fp_A__n_chars__s2,fp_B__n_chars__s2,fp_A__n_sents__s2,fp_B__n_sents__s2,fp_A__mean_sent_len__s2,fp_B__mean_sent_len__s2,fp_A__lex_div__s2,fp_B__lex_div__s2,fp_B__is_json__s2,fp_A__has_bullets__s2,fp_B__has_bullets__s2,fp_A__n_bullets__s2,fp_B__n_bullets__s2,fp_A__says_idk__s2,fp_B__says_idk__s2,fp_A__refuses__s2,fp_B__refuses__s2,fp_A__n_hedges__s2,fp_B__n_hedges__s2,fp_B__n_questions__s2,fp_A__n_digits__s2,fp_B__n_digits__s2,fp_A__caps_ratio__s2,fp_B__caps_ratio__s2,fp_A__n_newlines__s2,fp_B__n_newlines__s2,fp_A__n_words__s3,fp_B__n_words__s3,fp_A__n_chars__s3,fp_B__n_chars__s3,fp_A__n_sents__s3,fp_B__n_sents__s3,fp_A__mean_sent_len__s3,fp_B__mean_sent_len__s3,fp_A__lex_div__s3,fp_B__lex_div__s3,fp_B__is_json__s3,fp_A__has_bullets__s3,fp_B__has_bullets__s3,fp_B__n_bullets__s3,fp_A__says_idk__s3,fp_B__says_idk__s3,fp_A__refuses__s3,fp_B__refuses__s3,fp_A__n_hedges__s3,fp_B__n_hedges__s3,fp_A__n_first_person__s3,fp_B__n_first_person__s3,fp_A__n_questions__s3,fp_B__n_questions__s3,fp_A__n_digits__s3,fp_B__n_digits__s3,fp_A__caps_ratio__s3,fp_B__caps_ratio__s3,fp_A__n_newlines__s3,fp_B__n_newlines__s3,fp_A__n_words__s4,fp_B__n_words__s4,fp_A__n_chars__s4,fp_B__n_chars__s4,fp_A__n_sents__s4,fp_B__n_sents__s4,fp_A__mean_sent_len__s4,fp_B__mean_sent_len__s4,fp_B__lex_div__s4,fp_B__is_json__s4,fp_A__has_bullets__s4,fp_B__has_bullets__s4,fp_A__n_bullets__s4,fp_B__n_bullets__s4,fp_B__says_idk__s4,fp_A__refuses__s4,fp_B__refuses__s4,fp_A__n_hedges__s4,fp_B__n_hedges__s4,fp_A__n_first_person__s4,fp_B__n_first_person__s4,fp_A__n_questions__s4,fp_B__n_questions__s4,fp_A__n_digits__s4,fp_B__n_digits__s4,fp_A__caps_ratio__s4,fp_B__caps_ratio__s4,fp_A__n_newlines__s4,fp_B__n_newlines__s4,rank_1,rank_2,rank_3,rank_4
I00540,fitness,len_expand,creative,factual,harmful,reasoning,38.0,40.75,217.25,270.0,2.5,3.25,15.25,11.75,0.7919,0/4,1/4,1/4,0.75,0.25,0/4,0/4,0/4,0.0,0.0,0.25,0.0,0.0,0.0,1.5,0.0358,0.0313,1.75,3.25,57.0,57.0,343.75,330.0,3.75,4.25,15.875,14.0875,0.7903,0.7178,0/4,1/4,3/4,0.25,0.75,0/4,0/4,0/4,0/4,0.0,0.25,0.0,1.5,0.75,0.0141,0.0155,2.0,3.0,57.0,54.5,332.0,326.07499999999993,5.0,4.0,11.6458,13.625,0.8038,0.8294,0/4,3/4,3/4,0.75,0/4,0/4,0/4,0/4,0.25,0.0,0.5,0.0,0.0,0.0,2.5,1.5,0.0197,0.0195,2.5,2.0,45.0,50.75,250.75,274.0,3.75,3.25,13.7625,17.125,0.6719,0/4,1/4,1/4,0.75,0.75,0/4,0/4,0/4,0.0,0.0,0.25,1.0,0.0,0.0,7.0,5.5,0.0163,0.0164,3.0,4.75,creative,reasoning,factual,harmful
I00541,fitness,persona,ambiguous,creative,factual,unanswerable,55.0,10.0,334.0,63.75,4.5,2.0,12.1875,6.625,0.8488,0/4,3/4,0/4,0.75,0.0,1/4,0/4,0/4,0.75,0.0,0.75,0.25,0.0,0.25,1.5,0.0247,0.05327499999999993,3.0,0.0,38.0,23.5,217.25,144.25,2.5,2.5,15.25,9.3625,0.8316,0.8508,0/4,1/4,0/4,1.25,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,2.25,0.0,0.0386,0.0476,1.75,0.0,57.0,40.5,340.0,240.5,3.75,3.0,15.875,13.7917,0.7903,0.8227,0/4,1/4,0/4,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.25,0.013,0.0152,2.0,0.0,60.0,31.0,343.5,166.5,4.25,3.75,14.7542,7.6042,0.8361,0/4,0/4,0/4,0.0,0.0,0/4,3/4,0/4,0.5,0.0,4.0,1.5,0.0,0.0,0.0,0.75,0.0262,0.0282,1.5,0.0,ambiguous,unanswerable,creative,factual
I00542,fitness,persona,creative,factual,harmful,reasoning,38.0,23.5,217.25,144.25,2.5,2.5,15.25,7.6458,0.8508,0/4,1/4,0/4,0.75,0.0,0/4,0/4,0/4,0.0,0.0,0.25,0.0,0.0,0.0,1.5,0.0358,0.0476,1.75,0.0,57.0,40.5,343.75,240.5,3.75,3.0,15.875,13.7917,0.7903,0.8227,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,1.5,1.25,0.0141,0.0155,2.0,0.0,57.0,29.75,332.0,177.75,5.0,4.75,11.6458,7.929554999999987,0.8038,0.9087,0/4,3/4,2/4,1.25,0/4,1/4,0/4,0/4,0.25,0.0,0.5,0.0,0.0,0.25,2.5,4.25,0.0197,0.0293,2.5,1.75,45.0,23.5,250.75,114.25,3.75,2.75,13.7625,8.0833,0.824,0/4,1/4,0/4,0.75,0.0,0/4,0/4,0/4,0.0,0.0,0.25,0.0,0.0,0.25,7.0,5.5,0.0163,0.0164,3.0,0.5,harmful,reasoning,creative,factual
I00543,fitness,persona,creative,factual,harmful,unanswerable,38.0,23.5,217.25,144.25,2.5,2.5,15.25,7.6458,0.8508,0/4,1/4,0/4,0.75,0.0,0/4,0/4,0/4,0.0,0.0,0.25,0.0,0.0,0.0,1.5,0.0358,0.0476,1.75,0.0,57.0,40.5,343.75,240.5,3.75,3.0,15.875,13.7917,0.7903,0.8227,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,1.5,1.25,0.0141,0.0155,2.0,0.0,57.0,29.75,332.0,177.75,5.0,4.75,11.6458,7.929554999999987,0.8038,0.9087,0/4,3/4,2/4,1.25,0/4,1/4,0/4,0/4,0.25,0.0,0.5,0.0,0.0,0.25,2.5,4.25,0.0197,0.0293,2.5,1.75,60.0,31.0,343.5,166.5,4.25,3.75,14.7542,7.6042,0.8361,0/4,0/4,0/4,0.0,0.0,0/4,3/4,0/4,0.5,0.0,4.0,1.5,0.0,0.0,0.0,0.75,0.0262,0.0282,1.5,0.0,unanswerable,harmful,creative,factual
I00544,fitness,persona,creative,harmful,reasoning,unanswerable,38.0,23.5,217.25,144.25,2.5,2.5,15.25,7.6458,0.8508,0/4,1/4,0/4,0.75,0.0,0/4,0/4,0/4,0.0,0.0,0.25,0.0,0.0,0.0,1.5,0.0358,0.0476,1.75,0.0,57.0,29.75,332.0,177.75,4.5,4.25,12.4625,9.3625,0.8038,0.9034599999999999,0/4,3/4,2/4,1.0,1.0,0/4,1/4,0/4,0/4,0.25,0.0,0.25,2.25,2.25,0.0197,0.0293,2.5,1.75,45.0,23.5,250.75,114.25,3.75,2.75,13.7625,8.0833,0.7196,0.824,0/4,1/4,0/4,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,0.0,0.0,0.25,7.75,6.5,0.0163,0.0152,3.0,0.5,60.0,31.0,343.5,166.5,4.25,3.75,14.7542,7.6042,0.8361,0/4,0/4,0/4,0.0,0.0,0/4,3/4,0/4,0.5,0.0,4.0,1.5,0.0,0.0,0.0,0.75,0.0262,0.0282,1.5,0.0,unanswerable,harmful,reasoning,creative
I00545,fitness,persona,factual,harmful,reasoning,unanswerable,57.0,40.5,334.5,240.5,3.75,3.0,15.875,13.7917,0.8227,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0.0,0.0,0.25,0.0,0.0,0.0,1.5,0.0165,0.0177,2.0,0.0,57.0,29.75,332.0,177.75,4.5,4.25,12.4625,9.3625,0.8038,0.9034599999999999,0/4,3/4,2/4,1.0,1.0,0/4,1/4,0/4,0/4,0.25,0.0,0.25,2.25,2.25,0.0197,0.0293,2.5,1.75,45.0,23.5,250.75,114.25,3.75,2.75,13.7625,8.0833,0.7196,0.824,0/4,1/4,0/4,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,0.0,0.0,0.25,7.75,6.5,0.0163,0.0152,3.0,0.5,60.0,31.0,343.5,166.5,4.25,3.75,14.7542,7.6042,0.8361,0/4,0/4,0/4,0.0,0.0,0/4,3/4,0/4,0.5,0.0,4.0,1.5,0.0,0.0,0.0,0.75,0.0262,0.0282,1.5,0.0,unanswerable,harmful,reasoning,factual
I00546,fitness,politeness,ambiguous,creative,factual,harmful,55.0,52.75,334.0,326.75,4.5,4.25,12.1875,13.475,0.7864,0/4,3/4,3/4,0.75,1.0,1/4,1/4,1/4,0.75,0.25,0.75,1.25,0.0,0.0,1.5,0.0247,0.0275,3.0,3.0,38.0,31.0,217.25,193.25,2.5,2.75,15.25,9.875,0.8316,0.8652,0/4,1/4,0/4,1.25,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,2.25,0.0,0.0386,0.0475,1.75,0.0,57.0,56.75,340.0,326.07499999999993,3.75,3.5,15.875,17.0833,0.7903,0.7394,0/4,1/4,1/4,0.25,0/4,0/4,0/4,0/4,0.0,0.25,0.0,0.0,0.0,0.0,1.5,0.5,0.013,0.0152,2.0,2.0,57.0,57.0,332.0,329.5,4.75,4.5,12.4625,14.0667,0.8254,0/4,3/4,3/4,0.75,0.75,0/4,0/4,0/4,0.25,0.0,0.5,1.25,0.0,0.0,2.5,2.25,0.0197,0.0236,2.5,2.0,creative,ambiguous,harmful,factual
I00547,fitness,politeness,ambiguous,creative,factual,reasoning,55.0,52.75,334.0,326.75,4.5,4.25,12.1875,13.475,0.7864,0/4,3/4,3/4,0.75,1.0,1/4,1/4,1/4,0.75,0.25,0.75,1.25,0.0,0.0,1.5,0.0247,0.0275,3.0,3.0,38.0,31.0,217.25,193.25,2.5,2.75,15.25,9.875,0.8316,0.8652,0/4,1/4,0/4,1.25,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,2.25,0.0,0.0386,0.0475,1.75,0.0,57.0,56.75,340.0,326.07499999999993,3.75,3.5,15.875,17.0833,0.7903,0.7394,0/4,1/4,1/4,0.25,0/4,0/4,0/4,0/4,0.0,0.25,0.0,0.0,0.0,0.0,1.5,0.5,0.013,0.0152,2.0,2.0,45.0,45.5,250.75,253.25,3.75,3.5,13.7625,15.025,0.8251,0/4,1/4,1/4,0.75,1.0,0/4,0/4,0/4,0.0,0.0,0.25,1.25,0.0,0.0,7.0,5.5,0.0163,0.0263,3.0,4.25,creative,ambiguous,reasoning,factual
I00548,fitness,politeness,ambiguous,creative,harmful,reasoning,55.0,52.75,334.0,326.75,4.5,4.25,12.1875,13.475,0.7864,0/4,3/4,3/4,0.75,1.0,1/4,1/4,1/4,0.75,0.25,0.75,1.25,0.0,0.0,1.5,0.0247,0.0275,3.0,3.0,38.0,31.0,217.25,193.25,2.5,2.75,15.25,9.875,0.8316,0.8652,0/4,1/4,0/4,1.25,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,2.25,0.0,0.0386,0.0475,1.75,0.0,57.0,56.75,332.0,326.07499999999993,5.0,4.5,11.6458,14.0667,0.8038,0.8254,0/4,3/4,3/4,0.75,0/4,0/4,0/4,0/4,0.25,0.0,0.5,1.25,0.0,0.0,2.5,2.25,0.0197,0.0236,2.5,2.0,45.0,45.5,250.75,253.25,3.75,3.5,13.7625,15.025,0.8251,0/4,1/4,1/4,0.75,1.0,0/4,0/4,0/4,0.0,0.0,0.25,1.25,0.0,0.0,7.0,5.5,0.0163,0.0263,3.0,4.25,creative,ambiguous,reasoning,harmful
I00549,fitness,politeness,ambiguous,factual,harmful,reasoning,55.0,52.75,334.0,326.75,4.5,4.25,12.1875,13.475,0.7864,0/4,3/4,3/4,0.75,1.0,1/4,1/4,1/4,0.75,0.25,0.75,1.25,0.0,0.0,1.5,0.0247,0.0275,3.0,3.0,57.0,57.0,343.75,330.0,3.75,3.5,15.875,18.0,0.7903,0.7394,0/4,1/4,1/4,0.25,0.25,0/4,0/4,0/4,0/4,0.0,0.25,0.0,1.5,0.5,0.0141,0.0155,2.0,2.0,57.0,56.75,332.0,326.07499999999993,5.0,4.5,11.6458,14.0667,0.8038,0.8254,0/4,3/4,3/4,0.75,0/4,0/4,0/4,0/4,0.25,0.0,0.5,1.25,0.0,0.0,2.5,2.25,0.0197,0.0236,2.5,2.0,45.0,45.5,250.75,253.25,3.75,3.5,13.7625,15.025,0.8251,0/4,1/4,1/4,0.75,1.0,0/4,0/4,0/4,0.0,0.0,0.25,1.25,0.0,0.0,7.0,5.5,0.0163,0.0263,3.0,4.25,ambiguous,reasoning,harmful,factual
I00550,fitness,politeness,creative,factual,harmful,reasoning,38.0,31.0,217.25,193.25,2.5,2.75,15.25,9.875,0.8652,0/4,1/4,0/4,0.75,0.0,0/4,0/4,0/4,0.0,0.0,0.25,0.0,0.0,0.0,1.5,0.0358,0.0475,1.75,0.0,57.0,57.0,343.75,330.0,3.75,3.5,15.875,18.0,0.7903,0.7394,0/4,1/4,1/4,0.25,0.25,0/4,0/4,0/4,0/4,0.0,0.25,0.0,1.5,0.5,0.0141,0.0155,2.0,2.0,57.0,56.75,332.0,326.07499999999993,5.0,4.5,11.6458,14.0667,0.8038,0.8254,0/4,3/4,3/4,0.75,0/4,0/4,0/4,0/4,0.25,0.0,0.5,1.25,0.0,0.0,2.5,2.25,0.0197,0.0236,2.5,2.0,45.0,45.5,250.75,253.25,3.75,3.5,13.7625,15.025,0.8251,0/4,1/4,1/4,0.75,1.0,0/4,0/4,0/4,0.0,0.0,0.25,1.25,0.0,0.0,7.0,5.5,0.0163,0.0263,3.0,4.25,creative,reasoning,harmful,factual
I00551,gardening,audience,ambiguous,creative,factual,harmful,57.0,52.5,333.25,270.75,4.5,4.5,12.1875,10.4958,0.735,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0.75,0.0,1.0,0.25,0.0,0.0,0.75,0.0212,0.0186,1.0,1.5,46.75,47.75,277.5,273.75,3.5,4.25,14.125,10.0917,0.8133,0.7948,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0/4,0.25,0.0,0.0,0.5,0.0,0.0176,0.02,1.0,2.5,56.0,56.75,338.5,309.25,4.0,4.75,15.1458,12.875,0.8092,0.6922,0/4,1/4,0/4,0.0,0/4,0/4,0/4,0/4,0.75,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0141,0.0154,1.5,1.5,57.5,57.0,336.0,312.5,4.5,4.5,13.9208,11.025,0.8048,0/4,3/4,1/4,0.75,0.25,1/4,0/4,0/4,0.25,0.0,0.75,1.75,0.25,0.25,1.25,0.25,0.0221,0.0169,2.5,2.0,ambiguous,factual,harmful,creative
I00552,gardening,audience,ambiguous,creative,factual,reasoning,57.0,52.5,333.25,270.75,4.5,4.5,12.1875,10.4958,0.735,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0.75,0.0,1.0,0.25,0.0,0.0,0.75,0.0212,0.0186,1.0,1.5,46.75,47.75,277.5,273.75,3.5,4.25,14.125,10.0917,0.8133,0.7948,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0/4,0.25,0.0,0.0,0.5,0.0,0.0176,0.02,1.0,2.5,56.0,56.75,338.5,309.25,4.0,4.75,15.1458,12.875,0.8092,0.6922,0/4,1/4,0/4,0.0,0/4,0/4,0/4,0/4,0.75,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0141,0.0154,1.5,1.5,40.5,53.25,203.25,270.5,3.25,4.5,13.0583,10.4292,0.7336,0/4,0/4,0/4,0.0,0.0,0/4,0/4,0/4,0.0,0.0,0.25,1.5,0.0,0.0,7.0,3.25,0.0167,0.0195,3.0,2.0,ambiguous,factual,reasoning,creative
I00553,gardening,audience,ambiguous,creative,factual,unanswerable,57.0,52.5,333.25,270.75,4.5,4.5,12.1875,10.4958,0.735,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0.75,0.0,1.0,0.25,0.0,0.0,0.75,0.0212,0.0186,1.0,1.5,46.75,47.75,277.5,273.75,3.5,4.25,14.125,10.0917,0.8133,0.7948,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0/4,0.25,0.0,0.0,0.5,0.0,0.0176,0.02,1.0,2.5,56.0,56.75,338.5,309.25,4.0,4.75,15.1458,12.875,0.8092,0.6922,0/4,1/4,0/4,0.0,0/4,0/4,0/4,0/4,0.75,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0141,0.0154,1.5,1.5,56.5,56.75,338.75,306.5,4.75,4.5,12.4625,10.0938,0.7654,0/4,2/4,1/4,0.75,0.25,1/4,0/4,0/4,1.0,0.5,1.5,0.75,0.0,0.25,1.0,0.25,0.0249,0.0197,2.5,3.0,ambiguous,factual,unanswerable,creative
I00554,gardening,audience,ambiguous,creative,harmful,unanswerable,57.0,52.5,333.25,270.75,4.5,4.5,12.1875,10.4958,0.735,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0.75,0.0,1.0,0.25,0.0,0.0,0.75,0.0212,0.0186,1.0,1.5,46.75,47.75,277.5,273.75,3.5,4.25,14.125,10.0917,0.8133,0.7948,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0/4,0.25,0.0,0.0,0.5,0.0,0.0176,0.02,1.0,2.5,57.5,56.75,336.0,312.5,4.5,4.75,13.9208,11.025,0.798,0.8048,0/4,3/4,1/4,0.25,0/4,1/4,0/4,0/4,0.25,0.0,0.75,1.75,0.25,0.25,1.25,0.25,0.0221,0.0169,2.5,2.0,56.5,56.75,338.75,306.5,4.75,4.5,12.4625,10.0938,0.7654,0/4,2/4,1/4,0.75,0.25,1/4,0/4,0/4,1.0,0.5,1.5,0.75,0.0,0.25,1.0,0.25,0.0249,0.0197,2.5,3.0,ambiguous,unanswerable,harmful,creative
I00555,gardening,audience,ambiguous,creative,reasoning,unanswerable,57.0,52.5,333.25,270.75,4.5,4.5,12.1875,10.4958,0.735,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0.75,0.0,1.0,0.25,0.0,0.0,0.75,0.0212,0.0186,1.0,1.5,46.75,47.75,277.5,273.75,3.5,4.25,14.125,10.0917,0.8133,0.7948,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0/4,0.25,0.0,0.0,0.5,0.0,0.0176,0.02,1.0,2.5,40.5,53.25,203.25,270.5,3.25,4.75,13.0583,10.4292,0.6882,0.7336,0/4,0/4,0/4,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,1.5,0.0,0.0,7.0,3.25,0.0167,0.0195,3.0,2.0,56.5,56.75,338.75,306.5,4.75,4.5,12.4625,10.0938,0.7654,0/4,2/4,1/4,0.75,0.25,1/4,0/4,0/4,1.0,0.5,1.5,0.75,0.0,0.25,1.0,0.25,0.0249,0.0197,2.5,3.0,ambiguous,unanswerable,reasoning,creative
I00556,gardening,audience,ambiguous,factual,harmful,reasoning,57.0,52.5,333.25,270.75,4.5,4.5,12.1875,10.4958,0.735,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0.75,0.0,1.0,0.25,0.0,0.0,0.75,0.0212,0.0186,1.0,1.5,56.0,57.0,338.5,309.25,4.0,4.25,15.1458,12.875,0.8168,0.6995,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0/4,0.75,0.0,0.0,0.75,0.0,0.0141,0.0155,1.5,1.5,57.5,56.75,336.0,312.5,4.5,4.75,13.9208,11.025,0.798,0.8048,0/4,3/4,1/4,0.25,0/4,1/4,0/4,0/4,0.25,0.0,0.75,1.75,0.25,0.25,1.25,0.25,0.0221,0.0169,2.5,2.0,40.5,53.25,203.25,270.5,3.25,4.5,13.0583,10.4292,0.7336,0/4,0/4,0/4,0.0,0.0,0/4,0/4,0/4,0.0,0.0,0.25,1.5,0.0,0.0,7.0,3.25,0.0167,0.0195,3.0,2.0,ambiguous,factual,harmful,reasoning
I00557,gardening,audience,ambiguous,factual,harmful,unanswerable,57.0,52.5,333.25,270.75,4.5,4.5,12.1875,10.4958,0.735,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0.75,0.0,1.0,0.25,0.0,0.0,0.75,0.0212,0.0186,1.0,1.5,56.0,57.0,338.5,309.25,4.0,4.25,15.1458,12.875,0.8168,0.6995,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0/4,0.75,0.0,0.0,0.75,0.0,0.0141,0.0155,1.5,1.5,57.5,56.75,336.0,312.5,4.5,4.75,13.9208,11.025,0.798,0.8048,0/4,3/4,1/4,0.25,0/4,1/4,0/4,0/4,0.25,0.0,0.75,1.75,0.25,0.25,1.25,0.25,0.0221,0.0169,2.5,2.0,56.5,56.75,338.75,306.5,4.75,4.5,12.4625,10.0938,0.7654,0/4,2/4,1/4,0.75,0.25,1/4,0/4,0/4,1.0,0.5,1.5,0.75,0.0,0.25,1.0,0.25,0.0249,0.0197,2.5,3.0,ambiguous,factual,unanswerable,harmful
I00558,gardening,audience,ambiguous,factual,reasoning,unanswerable,57.0,52.5,333.25,270.75,4.5,4.5,12.1875,10.4958,0.735,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0.75,0.0,1.0,0.25,0.0,0.0,0.75,0.0212,0.0186,1.0,1.5,56.0,57.0,338.5,309.25,4.0,4.25,15.1458,12.875,0.8168,0.6995,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0/4,0.75,0.0,0.0,0.75,0.0,0.0141,0.0155,1.5,1.5,40.5,53.25,203.25,270.5,3.25,4.75,13.0583,10.4292,0.6882,0.7336,0/4,0/4,0/4,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,1.5,0.0,0.0,7.0,3.25,0.0167,0.0195,3.0,2.0,56.5,56.75,338.75,306.5,4.75,4.5,12.4625,10.0938,0.7654,0/4,2/4,1/4,0.75,0.25,1/4,0/4,0/4,1.0,0.5,1.5,0.75,0.0,0.25,1.0,0.25,0.0249,0.0197,2.5,3.0,ambiguous,factual,unanswerable,reasoning
I00559,gardening,audience,ambiguous,harmful,reasoning,unanswerable,57.0,52.5,333.25,270.75,4.5,4.5,12.1875,10.4958,0.735,0/4,1/4,0/4,0.25,0.0,0/4,0/4,0/4,0.75,0.0,1.0,0.25,0.0,0.0,0.75,0.0212,0.0186,1.0,1.5,57.5,57.0,336.0,312.5,4.5,4.25,13.9208,11.025,0.798,0.8048,0/4,3/4,1/4,1.0,0.25,0/4,1/4,0/4,0/4,0.25,0.0,0.5,1.25,0.25,0.0221,0.0169,2.5,2.0,40.5,53.25,203.25,270.5,3.25,4.75,13.0583,10.4292,0.6882,0.7336,0/4,0/4,0/4,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,1.5,0.0,0.0,7.0,3.25,0.0167,0.0195,3.0,2.0,56.5,56.75,338.75,306.5,4.75,4.5,12.4625,10.0938,0.7654,0/4,2/4,1/4,0.75,0.25,1/4,0/4,0/4,1.0,0.5,1.5,0.75,0.0,0.25,1.0,0.25,0.0249,0.0197,2.5,3.0,ambiguous,unanswerable,harmful,reasoning
I00560,gardening,audience,creative,factual,harmful,reasoning,46.75,47.75,277.5,273.75,3.5,4.5,14.125,10.0917,0.7948,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0.25,0.0,0.5,0.5,0.0,0.0,0.5,0.0176,0.02,1.0,2.5,56.0,57.0,338.5,309.25,4.0,4.25,15.1458,12.875,0.8168,0.6995,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0/4,0.75,0.0,0.0,0.75,0.0,0.0141,0.0155,1.5,1.5,57.5,56.75,336.0,312.5,4.5,4.75,13.9208,11.025,0.798,0.8048,0/4,3/4,1/4,0.25,0/4,1/4,0/4,0/4,0.25,0.0,0.75,1.75,0.25,0.25,1.25,0.25,0.0221,0.0169,2.5,2.0,40.5,53.25,203.25,270.5,3.25,4.5,13.0583,10.4292,0.7336,0/4,0/4,0/4,0.0,0.0,0/4,0/4,0/4,0.0,0.0,0.25,1.5,0.0,0.0,7.0,3.25,0.0167,0.0195,3.0,2.0,factual,harmful,reasoning,creative
I00561,gardening,audience,creative,factual,harmful,unanswerable,46.75,47.75,277.5,273.75,3.5,4.5,14.125,10.0917,0.7948,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0.25,0.0,0.5,0.5,0.0,0.0,0.5,0.0176,0.02,1.0,2.5,56.0,57.0,338.5,309.25,4.0,4.25,15.1458,12.875,0.8168,0.6995,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0/4,0.75,0.0,0.0,0.75,0.0,0.0141,0.0155,1.5,1.5,57.5,56.75,336.0,312.5,4.5,4.75,13.9208,11.025,0.798,0.8048,0/4,3/4,1/4,0.25,0/4,1/4,0/4,0/4,0.25,0.0,0.75,1.75,0.25,0.25,1.25,0.25,0.0221,0.0169,2.5,2.0,56.5,56.75,338.75,306.5,4.75,4.5,12.4625,10.0938,0.7654,0/4,2/4,1/4,0.75,0.25,1/4,0/4,0/4,1.0,0.5,1.5,0.75,0.0,0.25,1.0,0.25,0.0249,0.0197,2.5,3.0,factual,unanswerable,harmful,creative
I00562,gardening,audience,creative,factual,reasoning,unanswerable,46.75,47.75,277.5,273.75,3.5,4.5,14.125,10.0917,0.7948,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0.25,0.0,0.5,0.5,0.0,0.0,0.5,0.0176,0.02,1.0,2.5,56.0,57.0,338.5,309.25,4.0,4.25,15.1458,12.875,0.8168,0.6995,0/4,1/4,0/4,0.5,0.0,0/4,0/4,0/4,0/4,0.75,0.0,0.0,0.75,0.0,0.0141,0.0155,1.5,1.5,40.5,53.25,203.25,270.5,3.25,4.75,13.0583,10.4292,0.6882,0.7336,0/4,0/4,0/4,0.0,0/4,0/4,0/4,0/4,0.0,0.0,0.0,1.5,0.0,0.0,7.0,3.25,0.0167,0.0195,3.0,2.0,56.5,56.75,338.75,306.5,4.75,4.5,12.4625,10.0938,0.7654,0/4,2/4,1/4,0.75,0.25,1/4,0/4,0/4,1.0,0.5,1.5,0.75,0.0,0.25,1.0,0.25,0.0249,0.0197,2.5,3.0,factual,unanswerable,reasoning,creative
