stock_code,description,median_unit_price,n_invoices,first_seen,last_seen
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.63,35,2010-01-11,2011-11-08
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,0.42,35,2009-12-04,2010-06-10
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,0.42,10,2009-12-13,2010-05-23
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.42,86,2009-12-11,2011-11-14
16258B,DAISY ERASERS IN BAG,0.42,15,2009-12-02,2009-12-22
16259,PIECE OF CAMO STATIONERY SET,0.21,55,2009-12-07,2011-11-13
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29,23,2009-12-04,2011-02-28
17003,BROCADE RING PURSE,0.21,413,2009-12-01,2011-11-14
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,6,2009-12-14,2011-06-08
17011A,ORIGAMI VANILLA INCENSE+FLOWER,3.1550000000000002,12,2009-12-22,2010-08-20
17011B,ORIGAMI JASMINE INCENSE+FLOWER,1.2,2,2010-05-30,2010-08-20
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,2.475,2,2009-12-14,2009-12-16
17011D,ORIGAMI ROSE INCENSE+FLOWER,1.375,4,2009-12-15,2010-08-20
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,0.65,1,2009-12-16,2009-12-16
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,2.1,20,2009-12-16,2011-05-19
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,2.46,94,2009-12-01,2011-11-09
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2.46,124,2009-12-08,2011-11-01
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,2.46,96,2010-02-05,2011-11-14
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,2.46,87,2010-03-12,2011-11-13
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,2.51,29,2009-12-16,2010-12-15
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2.46,83,2010-03-03,2011-11-14
17013B,ORIGAMI JASMINE INCENSE IN TUBE,1.27,3,2009-12-09,2009-12-16
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,0.42,2,2009-12-16,2010-03-03
17013D,ORIGAMI ROSE INCENSE IN TUBE,1.65,31,2009-12-09,2011-06-07
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,1.65,5,2009-12-21,2010-08-20
17014A,ORIGAMI VANILLA INCENSE CONES,1.65,16,2009-12-09,2011-06-27
17014C,ORIGAMI LAVENDER INCENSE CONES,1.925,2,2009-12-05,2009-12-10
17014D,ORIGAMI ROSE INCENSE CONES,1.65,8,2010-01-14,2010-08-20
17014E,ORIGAMI OPIUM INCENSE CONES,1.65,6,2010-05-10,2010-08-20
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,1.65,4,2010-01-21,2010-08-20
17021,NAMASTE SWAGAT INCENSE,0.3,74,2010-01-22,2011-11-13
17027A,INCENSE BAZAAR CANNABIS,0.355,2,2010-02-04,2010-03-10
17028J,INCENSE BAZAAR PEACH,0.42,1,2011-01-31,2011-01-31
17033,"BROCADE PURSE,SMALL ARCH BUTTON",0.29,69,2009-12-02,2010-10-19
17038,PORCELAIN BUDAH INCENSE HOLDER,0.1,51,2009-12-14,2011-11-13
17039,INLAID WOOD INCENSE HOLDER,0.29,43,2009-12-02,2010-08-09
17061,ASSORTED SHAPED STENCIL FOR HENNA,0.04,1,2009-12-07,2009-12-07
17084A,TRANQUILITY MASALA INCENSE,0.21,18,2010-02-04,2011-09-13
17084G,MOON INCENSE,0.21,2,2009-12-02,2009-12-07
17084J,LOVE POTION MASALA INCENSE,0.21,20,2009-12-01,2011-09-13
17084N,FAIRY DREAMS INCENSE,0.42,177,2009-12-02,2011-11-11
17084P,DRAGONS BLOOD INCENSE,0.42,67,2009-12-07,2011-11-11
17084R,ASSORTED INCENSE PACK,0.21,65,2009-12-02,2011-11-06
17090A,LAVENDER INCENSE 40 CONES IN TIN,1.25,25,2009-12-10,2011-10-23
17090D,VANILLA INCENSE 40 CONES IN TIN,1.25,28,2009-12-13,2011-07-11
17091A,LAVENDER INCENSE IN TIN,1.25,117,2009-12-06,2011-05-18
17091B,JASMINE TEA INCENSE IN TIN,1.25,51,2009-12-06,2010-09-09
17091F,SANDALWOOD INCENSE IN TIN,1.25,8,2009-12-06,2010-01-10
17091J,VANILLA INCENSE IN TIN,0.85,162,2009-12-01,2011-11-14
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.42,76,2009-12-02,2011-07-19
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55,79,2009-12-04,2011-11-14
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,0.42,23,2009-12-01,2010-03-28
17109A,FLOWER FAIRY INCENSE LILY,1.69,13,2009-12-02,2010-03-26
17109B,FLOWER FAIRY INCENSE LAVENDER,1.69,17,2009-12-02,2010-03-05
17109C,FLOWER FAIRY INCENSE ROSE,1.69,15,2009-12-02,2010-03-03
17109D,FLOWER FAIRY INCENSE BOUQUET,1.69,38,2009-12-04,2011-04-21
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,0.85,11,2009-12-09,2010-05-04
17129D,CLEAR COLOUR GLASS GEMS IN BAG,0.85,39,2009-12-01,2010-03-05
17129F,BLUE GLASS GEMS IN BAG,1.63,144,2009-12-04,2011-11-10
17136A,BLUE STONES ON WIRE FOR CANDLE,0.08,34,2009-12-03,2011-11-03
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0.42,81,2009-12-01,2011-01-26
17164D,ASS COL SMALL SAND FROG P'WEIGHT,0.42,28,2009-12-01,2010-03-19
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,1.05,57,2009-12-01,2010-10-10
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1.05,89,2009-12-01,2011-01-12
17174,ASSTD RASTA KEY-CHAINS,0.42,5,2010-02-01,2011-01-16
17178,FLAT PALM T-LIGHT HOLDER,1.25,24,2009-12-08,2010-09-16
17181,CIRCLE OF FRIENDS CANDLE HOLDER,5.06,65,2009-12-01,2010-08-05
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75,11,2009-12-09,2011-11-13
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.18,72,2009-12-02,2011-07-20
18010,ASSORTED FRAGRANCE BATH CONFETTI,0.42,9,2009-12-01,2010-01-28
18094C,WHITE AND BLUE CERAMIC OIL BURNER,2.46,98,2009-12-02,2011-10-07
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,2.55,26,2009-12-01,2010-02-24
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,2.55,12,2010-03-05,2011-06-22
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,2.55,3,2009-12-02,2010-01-17
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.55,205,2009-12-01,2011-11-13
18098A,PINK PORCELAIN B'FLY OIL BURNER,2.95,2,2009-12-14,2009-12-17
18098B,BLUE PORCELAIN B'FLY OIL BURNER,2.95,3,2009-12-13,2010-02-24
18098C,PORCELAIN BUTTERFLY OIL BURNER,2.95,371,2009-12-01,2011-08-08
20615,BLUE POLKADOT PASSPORT COVER,2.1,186,2009-12-01,2011-11-10
20616,CHERRY BLOSSOM PASSPORT COVER,1.66,115,2009-12-01,2011-10-31
20617,FIRST CLASS PASSPORT COVER,2.1,103,2009-12-02,2011-11-14
20618,QUEEN OF THE SKIES PASSPORT COVER,2.1,132,2009-12-01,2011-11-10
20619,TROPICAL PASSPORT COVER,2.1,186,2009-12-01,2011-11-11
20620,RED SPOTTY PASSPORT COVER,4.255,14,2009-12-02,2010-02-03
20621,ECONOMY PASSPORT COVER,2.1,33,2009-12-02,2010-09-02
20622,VIPPASSPORT COVER,2.1,122,2009-12-01,2011-11-10
20652,BLUE POLKADOT LUGGAGE TAG,1.25,165,2009-12-01,2011-11-14
20653,CHERRY BLOSSOM LUGGAGE TAG,1.25,77,2009-12-02,2011-10-07
20654,FIRST CLASS LUGGAGE TAG,1.25,115,2009-12-01,2011-11-11
20655,QUEEN OF SKIES LUGGAGE TAG,1.25,182,2009-12-01,2011-11-13
20657,TROPICAL LUGGAGE TAG,1.25,118,2009-12-01,2011-11-11
20658,RED SPOTTY LUGGAGE TAG,1.25,353,2009-12-01,2011-09-26
20659,ECONOMY LUGGAGE TAG,1.25,128,2009-12-01,2011-11-14
20660,VIP LUGGAGE TAG,1.25,26,2009-12-01,2010-08-01
20661,BLUE SPOTTY PURSE,2.51,118,2009-12-01,2011-11-02
20662,FIRST CLASS HOLIDAY PURSE,2.51,49,2009-12-06,2011-10-24
20663,QUEEN OF THE SKIES HOLIDAY PURSE,2.51,44,2009-12-10,2011-10-17
20664,TROPICAL HOLIDAY PURSE,2.95,31,2009-12-15,2011-08-30
20665,RED RETROSPOT PURSE,2.95,339,2009-12-01,2011-10-31
20666,ECONOMY HOLIDAY PURSE,2.51,46,2009-12-08,2011-07-20
20667,CHERRY BLOSSOM PURSE,2.46,24,2009-12-17,2011-08-30
20668,DISCO BALL CHRISTMAS DECORATION,0.12,310,2009-12-02,2011-11-14
20669,RED HEART LUGGAGE TAG,1.25,203,2009-12-02,2011-11-11
20670,VIP HOLIDAY PURSE,2.51,47,2009-12-08,2011-10-10
20671,BLUE TEATIME PRINT BOWL,1.25,143,2009-12-02,2010-12-09
20672,PINK TEATIME PRINT BOWL,1.25,36,2009-12-02,2010-03-05
20673,STRAWBERRIES PRINT BOWL,1.25,2,2009-12-01,2009-12-03
20674,GREEN POLKADOT BOWL,1.25,443,2009-12-01,2011-11-13
20675,BLUE POLKADOT BOWL,1.25,672,2009-12-01,2011-11-14
20676,RED RETROSPOT BOWL,1.25,930,2009-12-01,2011-11-14
20677,PINK POLKADOT BOWL,1.25,729,2009-12-01,2011-11-14
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65,1,2011-09-23,2011-09-23
20679,EDWARDIAN PARASOL RED,5.95,689,2009-12-01,2011-11-13
20680,PINK FLOWERS CHILDS UMBRELLA,3.25,4,2009-12-10,2010-01-22
20681,PINK SPOTTY CHILDS UMBRELLA,3.25,341,2009-12-01,2011-03-10
20682,RED RETROSPOT CHILDRENS UMBRELLA,3.25,557,2009-12-01,2011-11-14
20683,RAIN GIRL CHILDS UMBRELLA,3.25,1,2009-12-11,2009-12-11
20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.25,176,2009-12-01,2011-07-22
20685,DOORMAT RED RETROSPOT,7.49,1669,2009-12-01,2011-11-14
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.25,177,2009-12-02,2011-11-14
20688,BEAUTY SPEED EXPRESSO CUPS,5.95,11,2009-12-04,2010-03-17
20689,RETRO SISTERS EXPRESSO CUPS,5.95,41,2009-12-07,2010-07-14
20692,FLORAL ELEPHANT SOFT TOY,4.25,139,2009-12-01,2010-09-08
20693,FLORAL DINOSAUR GREEN,4.25,18,2009-12-02,2010-03-14
20694,FLORAL PINK MONSTER,3.75,53,2009-12-01,2011-10-31
20695,FLORAL BLUE MONSTER,4.25,60,2009-12-01,2011-09-20
20696,FLORAL SOFT CAR TOY,3.75,60,2009-12-02,2011-11-11
20697,LITTLE GREEN MONSTER SOFT TOY,2.55,20,2009-12-13,2011-11-13
20698,LITTLE PINK MONSTER SOFT TOY,2.55,20,2010-01-17,2011-11-13
20699,MOUSEY LONG LEGS SOFT TOY,2.55,86,2009-12-04,2011-11-07
20700,GREEN CAT FLORAL CUSHION COVER,4.13,103,2009-12-07,2011-09-28
20701,PINK CAT FLORAL CUSHION COVER,4.13,50,2009-12-02,2011-06-30
20702,PINK PADDED MOBILE,4.25,245,2009-12-03,2011-10-26
20703,BLUE PADDED SOFT MOBILE,4.25,169,2009-12-01,2011-04-14
20704,MR ROBOT SOFT TOY,6.95,74,2009-12-06,2011-11-06
20705,MRS ROBOT SOFT TOY,6.95,49,2009-12-07,2011-10-31
20707,CRAZY DAISY HEART DECORATION,0.83,196,2009-12-04,2011-11-14
20711,JUMBO BAG TOYS,1.95,1026,2009-12-01,2011-11-13
20712,JUMBO BAG WOODLAND ANIMALS,2.08,1340,2009-12-01,2011-11-14
20713,JUMBO BAG OWLS,1.95,1256,2009-12-01,2011-11-14
20714,POSY SHOPPER BAG,0.87,28,2009-12-01,2010-01-12
20715,LITTLE FLOWER SHOPPER BAG,1.06,1,2010-01-07,2010-01-07
20716,PARTY FOOD SHOPPER BAG,1.25,246,2009-12-01,2011-06-29
20717,STRAWBERRY SHOPPER BAG,1.25,720,2009-12-04,2011-11-14
20718,RED RETROSPOT SHOPPER BAG,1.25,1143,2009-12-01,2011-11-14
20719,WOODLAND CHARLOTTE BAG,0.85,1487,2009-12-01,2011-11-14
20721,OWLS CHARLOTTE BAG,0.85,1,2009-12-07,2009-12-07
20723,STRAWBERRY CHARLOTTE BAG,0.85,1317,2009-12-01,2011-11-14
20724,RED RETROSPOT CHARLOTTE BAG,0.85,1933,2009-12-01,2011-11-14
20725,LUNCH BAG RED RETROSPOT,1.65,2920,2009-12-01,2011-11-14
20726,LUNCH BAG WOODLAND,1.65,1835,2009-12-01,2011-11-14
20727,LUNCH BAG  BLACK SKULL.,1.65,2213,2009-12-01,2011-11-14
20728,LUNCH BAG CARS BLUE,1.65,1961,2009-12-01,2011-11-14
20729,RED SPOTTY CANDY BAG,1.25,121,2009-12-01,2010-06-16
20730,STRAWBERRY CANDY BAG,0.87,102,2009-12-01,2010-09-05
20731,POSY CANDY BAG,1.25,73,2009-12-07,2011-06-20
20733,GOLD MINI TAPE MEASURE,0.85,265,2009-12-03,2011-11-14
20734,SILVER MINI TAPE MEASURE,0.85,117,2009-12-01,2011-04-06
20735,BLACK MINI TAPE MEASURE,0.85,197,2009-12-02,2011-10-23
20736,PINK MINI TAPE MEASURE,0.85,19,2009-12-02,2010-03-14
20737,RED MINI TAPE MEASURE,1.7,1,2009-12-02,2009-12-02
20738,GREEN MINI TAPE MEASURE,0.85,74,2009-12-03,2010-11-29
20739,*USB Office Glitter Lamp,8.65,1,2009-12-01,2009-12-01
20747,PICCADILLY TEA SET,14.95,108,2009-12-01,2010-05-16
20748,KENSINGTON COFFEE SET,12.75,181,2009-12-01,2011-11-14
20749,ASSORTED COLOUR MINI CASES,7.95,720,2009-12-01,2011-11-14
20750,RED RETROSPOT MINI CASES,7.95,869,2009-12-01,2011-11-14
20751,FUNKY WASHING UP GLOVES ASSORTED,2.1,456,2009-12-01,2011-11-14
20752,BLUE POLKADOT WASHING UP GLOVES,2.1,347,2009-12-01,2011-11-13
20753,RETRO PINK SPOT WASHING UP GLOVES,2.1,56,2009-12-01,2010-01-18
20754,RETROSPOT RED WASHING UP GLOVES,2.1,842,2009-12-01,2011-11-13
20755,BLUE PAISLEY POCKET BOOK,0.85,106,2009-12-07,2011-11-13
20756,GREEN FERN POCKET BOOK,0.85,61,2009-12-01,2011-11-13
20757,RED DAISY POCKET BOOK,0.85,72,2009-12-07,2011-11-07
20758,ABSTRACT CIRCLES POCKET BOOK,0.85,88,2009-12-01,2011-11-14
20759,CHRYSANTHEMUM POCKET BOOK,0.85,60,2009-12-17,2011-11-14
20760,GARDEN PATH POCKET BOOK,0.85,80,2009-12-04,2011-11-14
20761,BLUE PAISLEY SKETCHBOOK,3.75,137,2009-12-01,2011-11-03
20762,GREEN FERN SKETCHBOOK,3.75,131,2009-12-04,2011-11-14
20763,DAISY SKETCHBOOK,3.75,69,2009-12-07,2011-11-14
20764,ABSTRACT CIRCLES SKETCHBOOK,3.75,177,2009-12-02,2011-11-14
20765,CHRYSANTHEMUM SKETCHBOOK,3.75,139,2009-12-01,2011-11-14
20766,GARDEN PATH SKETCHBOOK,3.75,151,2009-12-04,2011-11-03
20767,BLUE PAISLEY JOURNAL,2.55,166,2009-12-01,2011-11-10
20768,GREEN FERN JOURNAL,2.55,141,2009-12-01,2011-11-08
20769,DAISY JOURNAL,2.55,69,2009-12-07,2011-10-30
20770,ABSTRACT CIRCLE JOURNAL,2.55,200,2009-12-01,2011-11-04
20771,CHRYSANTHEMUM  JOURNAL,2.55,131,2009-12-01,2011-11-14
20772,GARDEN PATH JOURNAL,2.55,147,2009-12-02,2011-11-13
20773,BLUE PAISLEY NOTEBOOK,1.65,117,2009-12-01,2011-09-12
20774,GREEN FERN NOTEBOOK,1.65,119,2009-12-01,2011-10-04
20775,DAISY NOTEBOOK,1.65,95,2009-12-06,2011-11-14
20776,ABSTRACT CIRCLES NOTEBOOK,1.65,84,2009-12-01,2010-09-17
20777,CHRYSANTHEMUM NOTEBOOK,1.65,144,2009-12-01,2011-11-14
20778,GARDEN PATH NOTEBOOK,1.65,90,2009-12-02,2011-04-26
20780,BLACK EAR MUFF HEADPHONES,5.49,93,2009-12-01,2011-11-11
20781,GOLD EAR MUFF HEADPHONES,5.49,53,2009-12-04,2011-11-11
20782,CAMOUFLAGE EAR MUFF HEADPHONES,5.49,77,2009-12-01,2011-09-22
20783,HEART EAR MUFF HEADPHONES,5.49,55,2009-12-01,2010-08-16
20784,RED RETRO BAR STOOL,34.0,37,2009-12-01,2010-10-21
20785,FUSCHIA RETRO BAR STOOL,34.0,36,2010-01-22,2011-04-06
20786,BLACK RETRO BAR STOOL,34.0,31,2010-01-22,2010-10-22
20787,BLUE RETRO BAR STOOL,34.0,30,2010-01-17,2010-09-22
20791,BLUE TILED SET OF 3 DRAWERS,12.75,1,2010-01-14,2010-01-14
20793,BLUE TILED TRAY,6.75,22,2009-12-02,2011-09-08
20794,BLUE  TILE HOOK,2.55,42,2010-01-07,2011-11-10
20795,LARGE BLUE PROVENCAL CERAMIC BALL,2.1,26,2009-12-09,2011-11-10
20796,SMALL BLUE PROVENCAL CERAMIC BALL,1.65,22,2009-12-09,2011-11-10
20798,CLEAR MILKSHAKE GLASS,2.1,83,2009-12-01,2011-01-25
20799,PINK MILKSHAKE GLASS,3.1550000000000002,26,2009-12-01,2010-06-21
20800,LARGE GLASS SUNDAE DISH CLEAR,5.06,5,2010-01-11,2010-03-30
20801,LARGE PINK GLASS SUNDAE DISH,2.46,111,2010-01-18,2011-05-25
20802,SMALL GLASS SUNDAE DISH CLEAR,1.65,113,2009-12-16,2011-11-07
20803,SMALL PINK GLASS SUNDAE DISH,1.65,84,2009-12-07,2011-05-01
20804,GLASS CHICKEN BUTTER DISH,3.36,61,2009-12-01,2010-07-01
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,2.55,3,2009-12-01,2010-01-28
20814,SILVER FINCH DECORATION,1.25,13,2009-12-01,2010-02-24
20816,GOLD FLOWER CUSHION COVER,6.75,7,2010-02-04,2011-04-28
20818,GOLD TEDDY BEAR,3.75,30,2009-12-02,2011-05-04
20819,SILVER TEDDY BEAR,3.75,58,2009-12-02,2011-11-02
20820,SILVER LOOKING MIRROR,4.95,8,2009-12-17,2011-03-01
20821,GOLDIE LOOKING MIRROR,10.17,24,2009-12-14,2011-08-25
20822,SILVER WINE GOBLET,4.65,1,2010-02-01,2010-02-01
