slate_id,position,stock_code
S00016,7,22629
S00016,8,21122
S00016,9,22993
S00016,10,23193
S00017,1,85099B
S00017,2,22411
S00017,3,23203
S00017,4,21907
S00017,5,23201
S00017,6,85099F
S00017,7,21931
S00017,8,23199
S00017,9,22384
S00017,10,22386
S00019,1,23264
S00019,2,22865
S00019,3,22739
S00019,4,84347
S00019,5,23301
S00019,6,23493
S00019,7,22867
S00019,8,23343
S00019,9,22810
S00019,10,23215
S00021,1,23203
S00021,2,20725
S00021,3,20728
S00021,4,22383
S00021,5,23200
S00021,6,20727
S00021,7,23209
S00021,8,85099F
S00021,9,21931
S00021,10,23201
S00022,1,23395
S00022,2,85123A
S00022,3,23012
S00022,4,82482
S00022,5,82567
S00022,6,23403
S00022,7,23393
S00022,8,22910
S00022,9,22604
S00022,10,22666
S00023,1,22147
S00023,2,22144
S00023,3,22866
S00023,4,22077
S00023,5,23209
S00023,6,22150
S00023,7,20971
S00023,8,22273
S00023,9,84375
S00023,10,22086
S00024,1,22570
S00024,2,22750
S00024,3,22111
S00024,4,22654
S00024,5,22751
S00024,6,22086
S00024,7,22139
S00024,8,15056BL
S00024,9,20969
S00024,10,22580
S00025,1,22867
S00025,2,22834
S00025,3,21733
S00025,4,22086
S00025,5,21481
S00025,6,22666
S00025,7,85099B
S00025,8,22694
S00025,9,21181
S00025,10,22551
S00026,1,15044B
S00026,2,22727
S00026,3,22386
S00026,4,85123A
S00026,5,22326
S00026,6,22429
S00026,7,22090
S00026,8,21936
S00026,9,21564
S00026,10,22659
S00027,1,21231
S00027,2,21242
S00027,3,22630
S00027,4,22556
S00027,5,21156
S00027,6,20725
S00027,7,22324
S00027,8,23159
S00027,9,22077
S00027,10,84375
S00028,1,85123A
S00028,2,22646
S00028,3,21166
S00028,4,22064
S00028,5,22469
S00028,6,22131
S00028,7,84375
S00028,8,72349B
S00028,9,22059
S00028,10,21531
S00029,1,20725
S00029,2,22383
S00029,3,85099F
S00029,4,22382
S00029,5,20712
S00029,6,20726
S00029,7,22662
S00029,8,20713
S00029,9,20711
S00029,10,22379
S00030,1,22629
S00030,2,22971
S00030,3,22556
S00030,4,22961
S00030,5,22972
S00030,6,22966
S00030,7,22558
S00030,8,22834
S00030,9,22745
S00030,10,21877
S00031,1,21232
S00031,2,21154
S00031,3,20725
S00031,4,22528
S00031,5,84879
S00031,6,85152
S00031,7,85099B
S00031,8,21122
S00031,9,22465
S00031,10,22553
S00032,1,23263
S00032,2,21992
S00032,3,23264
S00032,4,85049H
S00032,5,23266
S00032,6,21034
S00032,7,23265
S00032,8,22560
S00032,9,21494
S00032,10,23321
S00033,1,22630
S00033,2,22432
S00033,3,20725
S00033,4,22382
S00033,5,23206
S00033,6,22554
S00033,7,85099B
S00033,8,20726
S00033,9,20727
S00033,10,22383
S00034,1,22620
S00034,2,21231
S00034,3,23301
S00034,4,22621
S00034,5,22494
S00034,6,23198
S00034,7,23275
S00034,8,20725
S00034,9,21992
S00034,10,22077
S00036,1,22470
S00036,2,21733
S00036,3,22457
S00036,4,84406B
S00036,5,22158
S00036,6,22766
S00036,7,22113
S00036,8,21181
S00036,9,71477
S00036,10,22189
S00037,1,21124
S00037,2,22993
S00037,3,22549
S00037,4,21889
S00037,5,21892
S00037,6,20727
S00037,7,21210
S00037,8,22961
S00037,9,21992
S00037,10,22558
S00038,1,22554
S00038,2,22383
S00038,3,82482
S00038,4,85099B
S00038,5,21535
S00038,6,20725
S00038,7,85152
S00038,8,20914
S00038,9,21931
S00038,10,22090
S00039,1,22629
S00039,2,23292
S00039,3,23209
S00039,4,23291
S00039,5,22382
S00039,6,23296
S00039,7,21731
S00039,8,20725
S00039,9,20726
S00039,10,22551
S00040,1,82600
S00040,2,22866
S00040,3,84029E
S00040,4,22413
S00040,5,22086
S00040,6,82482
S00040,7,21908
S00040,8,85150
S00040,9,22865
S00040,10,22667
S00041,1,22382
S00041,2,23077
S00041,3,21915
S00041,4,22551
S00041,5,20725
S00041,6,23192
S00041,7,23078
S00041,8,22383
S00041,9,84828
S00041,10,22993
S00042,1,23203
S00042,2,85123A
S00042,3,22384
S00042,4,23298
S00042,5,22666
S00042,6,23236
S00042,7,85099B
S00042,8,23301
S00042,9,23199
S00042,10,23206
S00043,1,22469
S00043,2,22961
S00043,3,84879
S00043,4,22969
S00043,5,22077
S00043,6,22558
S00043,7,84378
S00043,8,85123A
S00043,9,20725
S00043,10,22666
S00044,1,22993
S00044,2,22976
S00044,3,22630
S00044,4,22555
S00044,5,84879
S00044,6,22197
S00044,7,23077
S00044,8,20725
S00044,9,22148
S00044,10,22652
S00045,1,23439
S00045,2,22077
S00045,3,23198
S00045,4,23301
S00045,5,22633
S00045,6,23264
S00045,7,22086
S00045,8,22735
S00045,9,23493
S00045,10,35970
S00046,1,21181
S00046,2,82600
S00046,3,22674
S00046,4,21174
S00046,5,85123A
S00046,6,22412
S00046,7,22413
S00046,8,85150
S00046,9,22866
S00046,10,21169
S00047,1,22867
S00047,2,20725
S00047,3,22383
S00047,4,22556
S00047,5,22384
S00047,6,22147
S00047,7,85123A
S00047,8,22557
S00047,9,22086
S00047,10,20726
S00048,1,22519
S00048,2,22525
S00048,3,22518
S00048,4,22524
S00048,5,22516
S00048,6,22433
S00048,7,22961
S00048,8,22558
S00048,9,84879
S00048,10,22748
S00049,1,37450
S00049,2,85123A
S00049,3,21232
S00049,4,22367
S00049,5,22364
S00049,6,20914
S00049,7,22089
S00049,8,21535
S00049,9,47580
S00049,10,22063
S00051,1,21210
S00051,2,21974
S00051,3,21122
S00051,4,22384
S00051,5,84987
S00051,6,22554
S00051,7,84988
S00051,8,84380
S00051,9,22329
S00051,10,22558
S00052,1,21992
S00052,2,21892
S00052,3,21791
S00052,4,85049H
S00052,5,22074
S00052,6,22621
S00052,7,22560
S00052,8,23301
S00052,9,21877
S00052,10,85039A
S00053,1,85123A
S00053,2,22457
S00053,3,82482
S00053,4,22766
S00053,5,21733
S00053,6,22173
S00053,7,20914
S00053,8,22960
S00053,9,22723
S00053,10,22804
S00054,1,22383
S00054,2,22384
S00054,3,20726
S00054,4,20728
S00054,5,22355
S00054,6,22662
S00054,7,22632
S00054,8,21181
S00054,9,22551
S00054,10,21034
S00055,1,23209
S00055,2,22746
S00055,3,85099B
S00055,4,23301
S00055,5,23202
S00055,6,23207
S00055,7,23203
S00055,8,20725
S00055,9,20728
S00055,10,23236
S00056,1,82482
S00056,2,22470
S00056,3,21280
S00056,4,22173
S00056,5,85152
S00056,6,22352
S00056,7,85184D
S00056,8,84406B
S00056,9,22318
S00056,10,84879
S00057,1,22383
S00057,2,22629
S00057,3,22558
S00057,4,20728
S00057,5,84378
S00057,6,22554
S00057,7,22384
S00057,8,20726
S00057,9,21080
S00057,10,85099B
S00058,1,21791
S00058,2,22491
S00058,3,22551
S00058,4,22560
S00058,5,20972
S00058,6,21914
S00058,7,23192
S00058,8,21058
S00058,9,22993
S00058,10,20979
S00059,1,22563
S00059,2,84380
S00059,3,22147
S00059,4,22383
S00059,5,22551
S00059,6,21121
S00059,7,21791
S00059,8,22897
S00059,9,22961
S00059,10,22748
S00060,1,21165
S00060,2,85150
S00060,3,82600
S00060,4,85123A
S00060,5,22413
S00060,6,82599
S00060,7,82552
S00060,8,84879
S00060,9,82567
S00060,10,22412
S00062,1,22384
S00062,2,22382
S00062,3,20725
S00062,4,22411
S00062,5,22383
S00062,6,21330
S00062,7,20727
S00062,8,20726
S00062,9,21929
S00062,10,20728
S00063,1,21232
S00063,2,22469
S00063,3,21156
S00063,4,22382
S00063,5,22059
S00063,6,84378
S00063,7,22644
S00063,8,22554
S00063,9,47559B
S00063,10,21165
S00064,1,20725
S00064,2,22383
S00064,3,20726
S00064,4,22966
S00064,5,85099B
S00064,6,22964
S00064,7,22469
S00064,8,20675
S00064,9,22961
S00064,10,21931
S00065,1,20727
S00065,2,21824
S00065,3,84836
S00065,4,22577
S00065,5,22294
S00065,6,21098
S00065,7,21591
S00065,8,21034
S00065,9,22603
S00065,10,22739
S00066,1,22470
S00066,2,22910
S00066,3,82482
S00066,4,20725
S00066,5,22867
S00066,6,22666
S00066,7,20914
S00066,8,22113
S00066,9,22086
S00066,10,22382
S00067,1,22382
S00067,2,85099B
S00067,3,22383
S00067,4,23209
S00067,5,20728
S00067,6,22621
S00067,7,22384
S00067,8,21915
S00067,9,20727
S00067,10,20726
S00068,1,22666
S00068,2,85123A
S00068,3,22457
S00068,4,22723
S00068,5,22083
S00068,6,22699
S00068,7,22667
S00068,8,22668
S00068,9,22088
S00068,10,20914
S00069,1,20727
S00069,2,22386
S00069,3,21931
S00069,4,22382
S00069,5,20726
S00069,6,23200
S00069,7,21929
S00069,8,85099F
S00069,9,22662
S00069,10,21928
S00072,1,85049B
S00072,2,21926
S00072,3,22469
S00072,4,21080
S00072,5,22558
S00072,6,21670
S00072,7,21868
S00072,8,21172
S00072,9,22435
S00072,10,22621
S00073,1,22556
S00073,2,22077
S00073,3,22629
S00073,4,20725
S00073,5,22557
S00073,6,22759
S00073,7,21210
S00073,8,21244
S00073,9,22739
S00073,10,22551
S00074,1,23203
S00074,2,22383
S00074,3,23208
S00074,4,20726
S00074,5,23199
S00074,6,23201
S00074,7,22662
S00074,8,22386
S00074,9,23200
S00074,10,22411
S00075,1,22632
S00075,2,22556
S00075,3,22910
S00075,4,22150
S00075,5,22633
S00075,6,22834
S00075,7,22147
S00075,8,22557
S00075,9,22383
S00075,10,22554
S00076,1,23209
S00076,2,22659
S00076,3,22554
S00076,4,22090
S00076,5,22961
S00076,6,23241
S00076,7,85123A
S00076,8,22367
S00076,9,22352
S00076,10,23301
S00077,1,22470
S00077,2,21733
S00077,3,22382
S00077,4,22666
S00077,5,85099B
S00077,6,22960
S00077,7,22301
S00077,8,21181
S00077,9,22933
S00077,10,20727
S00078,1,82494L
S00078,2,22469
S00078,3,85123A
S00078,4,22088
S00078,5,84406B
S00078,6,21907
S00078,7,22173
S00078,8,22588
S00078,9,21535
S00078,10,22457
S00079,1,22382
S00079,2,20726
S00079,3,22866
S00079,4,22411
S00079,5,22867
S00079,6,85099F
S00079,7,20713
S00079,8,22385
S00079,9,21929
S00079,10,22553
S00080,1,82482
S00080,2,22630
S00080,3,22150
S00080,4,22748
S00080,5,84879
S00080,6,22556
S00080,7,21889
S00080,8,22367
S00080,9,22759
S00080,10,22910
S00081,1,84378
S00081,2,22219
S00081,3,85231B
S00081,4,84970S
S00081,5,21679
S00081,6,22469
S00081,7,22197
S00081,8,22132
S00081,9,21326
S00081,10,22297
S00082,1,23202
S00082,2,22386
S00082,3,20725
S00082,4,21931
S00082,5,23199
S00082,6,23201
S00082,7,22411
S00082,8,21929
S00082,9,23209
S00082,10,23300
S00083,1,82482
S00083,2,22469
S00083,3,85152
S00083,4,21733
S00083,5,23301
S00083,6,22457
S00083,7,84879
S00083,8,23321
S00083,9,22086
S00083,10,20725
S00084,1,22384
S00084,2,21559
S00084,3,20726
S00084,4,22383
S00084,5,22554
S00084,6,20728
S00084,7,21931
S00084,8,20727
S00084,9,21558
S00084,10,22386
S00085,1,22993
S00085,2,21210
S00085,3,23147
S00085,4,21989
S00085,5,22384
S00085,6,22077
S00085,7,21199
S00085,8,22961
S00085,9,22469
S00085,10,84378
S00086,1,21539
S00086,2,85123A
S00086,3,22063
S00086,4,22722
S00086,5,22699
S00086,6,21218
S00086,7,22090
S00086,8,20754
S00086,9,82482
S00086,10,22666
S00087,1,22553
S00087,2,22557
S00087,3,22966
S00087,4,22333
S00087,5,22435
S00087,6,22630
S00087,7,21034
S00087,8,84987
S00087,9,22382
S00087,10,20972
S00088,1,85123A
S00088,2,22570
S00088,3,22727
S00088,4,22748
S00088,5,21484
S00088,6,22800
S00088,7,21912
S00088,8,22750
S00088,9,22666
S00088,10,84375
S00089,1,23209
S00089,2,23206
S00089,3,22382
S00089,4,23207
S00089,5,20726
S00089,6,85099B
S00089,7,23203
S00089,8,22662
S00089,9,23202
S00089,10,23301
S00090,1,23300
S00090,2,23198
S00090,3,22383
S00090,4,23263
S00090,5,23301
S00090,6,22961
S00090,7,21669
S00090,8,22551
S00090,9,23321
S00090,10,84378
S00092,1,20914
S00092,2,22900
S00092,3,22630
S00092,4,85123A
S00092,5,22063
S00092,6,22084
S00092,7,22989
S00092,8,22957
S00092,9,22062
S00092,10,22729
S00093,1,22457
S00093,2,82482
S00093,3,22084
S00093,4,47566
S00093,5,22804
S00093,6,84879
S00093,7,22666
S00093,8,21166
S00093,9,22699
S00093,10,21932
S00094,1,85123A
S00094,2,22666
S00094,3,22470
S00094,4,22457
S00094,5,21181
S00094,6,22667
S00094,7,85184C
S00094,8,20914
S00094,9,20754
S00094,10,22113
S00096,1,85123A
S00096,2,22697
S00096,3,22666
S00096,4,22470
S00096,5,85099B
S00096,6,22866
S00096,7,22367
S00096,8,22086
S00096,9,21531
S00096,10,20914
S00099,1,22632
S00099,2,22633
S00099,3,22834
S00099,4,22470
S00099,5,22114
S00099,6,22113
S00099,7,21484
S00099,8,21733
S00099,9,84029E
S00099,10,21181
S00100,1,85123A
S00100,2,22555
S00100,3,22077
S00100,4,21166
S00100,5,22659
S00100,6,22974
S00100,7,22382
S00100,8,82482
S00100,9,20914
S00100,10,84879
S00101,1,48194
S00101,2,20685
S00101,3,21524
S00101,4,48185
S00101,5,22366
S00101,6,22688
S00101,7,48111
S00101,8,48184
S00101,9,22365
S00101,10,48173C
S00102,1,85123A
S00102,2,21733
S00102,3,22470
S00102,4,22086
S00102,5,22112
S00102,6,22666
S00102,7,22865
S00102,8,22158
S00102,9,84029G
S00102,10,22910
S00103,1,23199
S00103,2,20727
S00103,3,23206
S00103,4,20728
S00103,5,21930
S00103,6,23200
S00103,7,85099C
S00103,8,20726
S00103,9,23208
S00103,10,23344
S00104,1,23208
S00104,2,85123A
S00104,3,85099B
S00104,4,20728
S00104,5,23163
S00104,6,23201
S00104,7,23207
S00104,8,20727
S00104,9,22382
S00104,10,21936
S00105,1,21535
S00105,2,20914
S00105,3,22073
S00105,4,21035
S00105,5,22666
S00105,6,21539
S00105,7,21155
S00105,8,85123A
S00105,9,84997B
S00105,10,22090
S00106,1,85123A
S00106,2,22470
S00106,3,21755
S00106,4,22457
S00106,5,22508
S00106,6,22766
S00106,7,22720
S00106,8,22189
S00106,9,22113
S00106,10,22667
S00107,1,23236
S00107,2,22666
S00107,3,85123A
S00107,4,21559
S00107,5,22367
S00107,6,22960
S00107,7,23209
S00107,8,22083
S00107,9,22326
S00107,10,23165
S00109,1,85049E
S00109,2,23263
S00109,3,23436
S00109,4,22733
S00109,5,35970
S00109,6,23264
S00109,7,21914
S00109,8,22739
S00109,9,23265
S00109,10,22909
S00110,1,20725
S00110,2,22431
S00110,3,22382
S00110,4,22993
S00110,5,22554
S00110,6,22383
S00110,7,20726
S00110,8,23206
S00110,9,22629
S00110,10,22662
S00111,1,22384
S00111,2,22328
S00111,3,23297
S00111,4,23206
S00111,5,20726
S00111,6,20728
S00111,7,20727
S00111,8,23236
S00111,9,22383
S00111,10,22382
S00112,1,20725
S00112,2,22383
S00112,3,22384
S00112,4,22382
S00112,5,23207
S00112,6,23203
S00112,7,22993
S00112,8,22662
S00112,9,20724
S00112,10,85099B
S00113,1,21668
S00113,2,22685
S00113,3,22772
S00113,4,21671
S00113,5,21672
S00113,6,21673
S00113,7,84879
S00113,8,21670
S00113,9,22682
S00113,10,21181
S00114,1,85123A
S00114,2,21535
S00114,3,22646
S00114,4,22469
S00114,5,85099B
S00114,6,20914
S00114,7,22077
S00114,8,22561
S00114,9,82482
S00114,10,85150
S00115,1,20725
S00115,2,23301
S00115,3,23202
S00115,4,20728
S00115,5,85099B
S00115,6,23206
S00115,7,23192
S00115,8,22384
S00115,9,23209
S00115,10,23203
S00116,1,22554
S00116,2,85099B
S00116,3,22555
S00116,4,22382
S00116,5,22553
S00116,6,22385
S00116,7,22551
S00116,8,20726
S00116,9,21929
S00116,10,22384
S00117,1,85123A
S00117,2,22469
S00117,3,21166
S00117,4,84406B
S00117,5,22766
S00117,6,22173
S00117,7,22666
S00117,8,22457
S00117,9,84879
S00117,10,21181
S00119,1,84987
S00119,2,22416
S00119,3,21974
S00119,4,21232
S00119,5,22558
S00119,6,22384
S00119,7,21122
S00119,8,21154
S00119,9,21207
S00119,10,84520B
S00120,1,23301
S00120,2,23198
S00120,3,23321
S00120,4,23209
S00120,5,23300
S00120,6,20728
S00120,7,23203
S00120,8,22867
S00120,9,22077
S00120,10,22557
S00121,1,82567
S00121,2,22666
S00121,3,90119
S00121,4,85123A
S00121,5,85099B
S00121,6,82482
S00121,7,21147
S00121,8,21903
S00121,9,21908
S00121,10,22903
S00122,1,23199
S00122,2,22383
S00122,3,20725
S00122,4,20727
S00122,5,21929
S00122,6,20726
S00122,7,22382
S00122,8,23202
S00122,9,20712
S00122,10,21928
S00124,1,23209
S00124,2,82600
S00124,3,22727
S00124,4,23203
S00124,5,85123A
S00124,6,23301
S00124,7,82482
S00124,8,21165
S00124,9,22629
S00124,10,21908
S00125,1,22866
S00125,2,85099B
S00125,3,22633
S00125,4,22694
S00125,5,22739
S00125,6,85123A
S00125,7,22470
S00125,8,22557
S00125,9,22632
S00125,10,22834
S00126,1,85123A
S00126,2,84879
S00126,3,82482
S00126,4,21166
S00126,5,22077
S00126,6,22666
S00126,7,20725
S00126,8,22296
S00126,9,22457
S00126,10,22178
S00129,1,22556
S00129,2,22551
S00129,3,21673
S00129,4,22630
S00129,5,22865
S00129,6,22652
S00129,7,22561
S00129,8,22553
S00129,9,22554
S00129,10,85099B
S00130,1,23209
S00130,2,23319
S00130,3,22077
S00130,4,23203
S00130,5,22630
S00130,6,22993
S00130,7,84879
S00130,8,85123A
S00130,9,35970
S00130,10,23241
S00131,1,22551
S00131,2,22367
S00131,3,85123A
S00131,4,22667
S00131,5,22865
S00131,6,21559
S00131,7,22556
S00131,8,22086
S00131,9,85099B
S00131,10,22557
S00132,1,21034
S00132,2,47504H
S00132,3,17012B
S00132,4,23367
S00132,5,22208
S00132,6,21992
S00132,7,20724
S00132,8,21790
S00132,9,22197
S00132,10,21818
S00133,1,21179
S00133,2,17091J
S00133,3,22384
S00133,4,21231
S00133,5,84879
S00133,6,22559
S00133,7,22558
S00133,8,21121
S00133,9,22469
S00133,10,20774
S00134,1,23264
S00134,2,22086
S00134,3,90119
S00134,4,35970
S00134,5,22077
S00134,6,23203
S00134,7,85123A
S00134,8,23301
S00134,9,84879
S00134,10,23215
S00135,1,22979
S00135,2,22558
S00135,3,22384
S00135,4,85099B
S00135,5,84380
S00135,6,22382
S00135,7,22383
S00135,8,84879
S00135,9,20727
S00135,10,20728
S00136,1,23209
S00136,2,22384
S00136,3,20728
S00136,4,20725
S00136,5,22382
S00136,6,22383
S00136,7,21559
S00136,8,23207
S00136,9,20726
S00136,10,23203
S00137,1,22867
S00137,2,22632
S00137,3,22633
S00137,4,21931
S00137,5,85123A
S00137,6,22748
S00137,7,22629
S00137,8,22652
S00137,9,22411
S00137,10,22666
S00138,1,23263
S00138,2,23301
S00138,3,23321
S00138,4,22077
S00138,5,84879
S00138,6,22074
S00138,7,22557
S00138,8,22457
S00138,9,23103
S00138,10,23215
S00139,1,21166
S00139,2,85152
S00139,3,21175
S00139,4,82600
S00139,5,21174
S00139,6,82599
S00139,7,21903
S00139,8,85150
S00139,9,21232
S00139,10,85099B
S00140,1,23264
S00140,2,22865
S00140,3,22383
S00140,4,23203
S00140,5,23198
S00140,6,23321
S00140,7,22077
S00140,8,20727
S00140,9,23301
S00140,10,35970
S00141,1,23170
S00141,2,21915
S00141,3,22077
S00141,4,22993
S00141,5,20725
S00141,6,22494
S00141,7,22961
S00141,8,21080
S00141,9,23301
S00141,10,21877
S00142,1,85123A
S00142,2,21429
S00142,3,22353
S00142,4,20725
S00142,5,22553
S00142,6,22090
S00142,7,22150
S00142,8,20914
S00142,9,22431
S00142,10,22328
S00143,1,21136
S00143,2,82482
S00143,3,22178
S00143,4,22297
S00143,5,23209
S00143,6,22699
S00143,7,23321
S00143,8,21314
S00143,9,23147
S00143,10,23029
S00144,1,23206
S00144,2,23199
S00144,3,23202
S00144,4,23208
S00144,5,85099B
S00144,6,20727
S00144,7,22629
S00144,8,22662
S00144,9,20914
S00144,10,23200
S00145,1,85099B
S00145,2,20727
S00145,3,21937
S00145,4,22384
S00145,5,22386
S00145,6,23201
S00145,7,22662
S00145,8,21932
S00145,9,22411
S00145,10,23208
S00146,1,22111
S00146,2,85123A
S00146,3,22835
S00146,4,21479
S00146,5,22910
S00146,6,84029E
S00146,7,84030E
S00146,8,22867
S00146,9,22113
S00146,10,22114
S00149,1,22671
S00149,2,22488
S00149,3,22077
S00149,4,22673
S00149,5,23263
S00149,6,21136
S00149,7,23301
S00149,8,22993
S00149,9,22620
S00149,10,22961
S00150,1,21181
S00150,2,22469
S00150,3,85123A
S00150,4,20754
S00150,5,22961
S00150,6,85099B
S00150,7,84879
S00150,8,22457
S00150,9,21481
S00150,10,22866
S00151,1,23209
S00151,2,23343
S00151,3,23201
S00151,4,22382
S00151,5,20727
S00151,6,22086
S00151,7,22383
S00151,8,23301
S00151,9,23513
S00151,10,20712
S00152,1,22950
S00152,2,47504K
S00152,3,23319
S00152,4,23343
S00152,5,22400
S00152,6,22209
S00152,7,22086
S00152,8,84849A
S00152,9,21108
S00152,10,85132C
S00153,1,21903
S00153,2,21905
S00153,3,22666
S00153,4,22117
S00153,5,22296
S00153,6,85099B
S00153,7,82551
S00153,8,82482
S00153,9,84050
S00153,10,22766
S00154,1,23203
S00154,2,82482
S00154,3,23322
S00154,4,23159
S00154,5,85099F
S00154,6,22384
S00154,7,23199
S00154,8,22411
S00154,9,21931
S00154,10,84879
S00156,1,22384
S00156,2,21232
S00156,3,22469
S00156,4,22383
S00156,5,22646
S00156,6,22382
S00156,7,20725
S00156,8,21231
S00156,9,20726
S00156,10,82600
S00157,1,20728
S00157,2,22382
S00157,3,22384
S00157,4,22662
S00157,5,23206
S00157,6,85099B
S00157,7,22554
S00157,8,21931
S00157,9,84879
S00157,10,21559
S00158,1,85099B
S00158,2,23201
S00158,3,23203
S00158,4,23199
S00158,5,21928
S00158,6,22411
S00158,7,20712
S00158,8,22386
S00158,9,23202
S00158,10,22383
S00159,1,20727
S00159,2,20728
S00159,3,23206
S00159,4,22384
S00159,5,20726
S00159,6,22993
S00159,7,85099B
S00159,8,22662
S00159,9,22961
S00159,10,84375
S00160,1,22383
S00160,2,20727
S00160,3,23208
S00160,4,22993
S00160,5,20726
S00160,6,23264
S00160,7,23206
S00160,8,23198
S00160,9,22961
S00160,10,23207
S00161,1,23209
S00161,2,20719
S00161,3,20728
S00161,4,20725
S00161,5,23206
S00161,6,22355
S00161,7,22197
S00161,8,20727
S00161,9,22383
S00161,10,22993
S00162,1,22866
S00162,2,22150
S00162,3,22734
S00162,4,22470
S00162,5,20969
S00162,6,22748
S00162,7,85123A
S00162,8,22632
S00162,9,22749
S00162,10,22633
S00163,1,21535
S00163,2,21163
S00163,3,22557
S00163,4,85099B
S00163,5,22865
S00163,6,22082
S00163,7,85123A
S00163,8,20754
S00163,9,21429
S00163,10,21166
S00164,1,22629
S00164,2,85123A
S00164,3,22748
S00164,4,22666
S00164,5,84997B
S00164,6,22866
S00164,7,84375
S00164,8,21481
S00164,9,22910
S00164,10,21890
S00165,1,22477
S00165,2,22558
S00165,3,22528
S00165,4,84380
S00165,5,22560
S00165,6,22488
S00165,7,22469
S00165,8,21429
S00165,9,20725
S00165,10,22403
S00166,1,22866
S00166,2,22910
S00166,3,22694
S00166,4,22149
S00166,5,22086
S00166,6,22077
S00166,7,22470
S00166,8,22557
S00166,9,22834
S00166,10,21175
S00167,1,23439
S00167,2,23301
S00167,3,23321
S00167,4,23266
S00167,5,23300
S00167,6,20725
S00167,7,23203
S00167,8,23493
S00167,9,23198
S00167,10,23263
S00168,1,23321
S00168,2,23147
S00168,3,85099B
S00168,4,82482
S00168,5,22178
S00168,6,21136
S00168,7,22077
S00168,8,84836
S00168,9,23300
S00168,10,22297
S00169,1,23170
S00169,2,23209
S00169,3,21242
S00169,4,23306
S00169,5,22961
S00169,6,22993
S00169,7,23171
S00169,8,22630
S00169,9,20725
S00169,10,22554
S00170,1,20725
S00170,2,22382
S00170,3,22383
S00170,4,23199
S00170,5,20728
S00170,6,23206
S00170,7,21931
S00170,8,22386
S00170,9,23208
S00170,10,20726
S00171,1,21166
S00171,2,84836
S00171,3,85099B
S00171,4,22694
S00171,5,22384
S00171,6,21175
S00171,7,22759
S00171,8,85152
S00171,9,22557
S00171,10,22865
S00172,1,22383
S00172,2,20726
S00172,3,20727
S00172,4,23209
S00172,5,23207
S00172,6,23206
S00172,7,20725
S00172,8,22382
S00172,9,20728
S00172,10,85099B
S00173,1,22086
S00173,2,90119
S00173,3,22666
S00173,4,85099B
S00173,5,85123A
S00173,6,22910
S00173,7,22809
S00173,8,23236
