strategy_id,arena_id,family,skill,oos_sharpe
S00108,A092,meanrev,0,-0.5167
S00109,A033,voltimer,1,2.9046
S00110,A138,trend,0,-1.2476
S00111,A160,meanrev,1,0.0356
S00112,A108,meanrev,0,1.8727
S00117,A095,meanrev,1,2.3064
S00119,A044,trend,1,1.3027
S00120,A066,meanrev,0,1.3478
S00122,A037,meanrev,0,-0.9158
S00123,A142,trend,0,-1.2558
S00125,A140,voltimer,1,-0.3322
S00126,A150,meanrev,0,-1.6844
S00127,A111,trend,0,0.6816
S00128,A041,voltimer,1,3.2957
S00130,A143,meanrev,0,1.3557
S00132,A004,voltimer,1,1.9968
S00134,A158,trend,0,0.2836
S00136,A009,meanrev,0,1.2608
S00137,A114,voltimer,1,2.2371
S00138,A024,voltimer,0,-0.9103
S00139,A048,voltimer,1,-0.2665
S00140,A025,meanrev,0,0.6442
S00141,A143,trend,0,0.2332
S00143,A097,meanrev,0,0.7803
S00145,A122,breakout,1,1.8627
S00146,A013,meanrev,1,-0.8674
S00147,A021,breakout,0,0.1205
S00148,A085,breakout,0,0.4392
S00149,A090,voltimer,1,2.7866
S00151,A069,voltimer,0,-1.5628
S00152,A040,meanrev,0,1.5688
S00153,A066,meanrev,1,0.2291
S00157,A003,meanrev,1,-1.2092
S00163,A139,breakout,1,0.4128
S00164,A001,trend,1,0.116
S00165,A079,voltimer,1,1.1408
S00167,A108,trend,0,1.9835
S00169,A052,voltimer,0,0.7885
S00171,A025,trend,0,1.1997
S00172,A140,meanrev,0,1.0985
S00173,A153,trend,0,1.0736
S00174,A044,meanrev,1,1.8587
S00175,A106,trend,0,-0.6359
S00177,A064,breakout,0,2.7864
S00178,A141,meanrev,0,-0.6225
S00180,A114,voltimer,1,-1.495
S00181,A071,breakout,0,1.3402
S00184,A069,trend,1,-0.8946
S00187,A083,meanrev,0,0.9174
S00188,A124,meanrev,1,-1.249
S00189,A103,meanrev,1,1.7304
S00190,A018,meanrev,1,-0.0511
S00191,A155,trend,1,0.7233
S00192,A048,meanrev,1,0.1057
S00197,A025,trend,1,0.1879
S00198,A037,meanrev,1,0.8039
S00199,A046,voltimer,0,-0.8259
S00200,A111,breakout,0,1.4603
S00201,A068,trend,1,1.1112
S00202,A050,meanrev,1,0.9537
S00203,A055,breakout,0,1.0206
S00204,A143,voltimer,0,0.4756
S00205,A049,breakout,0,-1.0822
S00206,A069,voltimer,1,0.7225
S00207,A103,trend,0,-1.9092
S00209,A082,trend,0,1.6254
S00211,A091,meanrev,0,1.5375
S00215,A126,voltimer,1,2.3358
S00216,A013,trend,1,0.6828
S00217,A111,voltimer,0,1.447
S00220,A134,trend,1,1.297
S00221,A109,voltimer,1,2.7589
S00222,A040,trend,0,-0.5095
S00223,A025,trend,0,0.7027
S00229,A098,breakout,0,1.417
S00230,A159,trend,1,-1.3793
S00233,A087,breakout,0,1.2067
S00234,A122,trend,1,0.844
S00235,A122,voltimer,1,2.2306
S00236,A126,voltimer,0,1.3533
S00237,A098,voltimer,1,1.884
S00238,A126,breakout,1,0.9393
S00239,A109,meanrev,1,1.1217
S00240,A100,voltimer,0,1.4289
S00241,A077,meanrev,0,0.4768
S00242,A074,breakout,1,1.5665
S00243,A095,meanrev,1,1.847
S00244,A069,breakout,1,-0.4541
S00246,A051,breakout,1,0.5599
S00247,A063,voltimer,1,1.8991
S00248,A049,meanrev,1,1.8054
S00249,A048,voltimer,0,0.9999
S00251,A151,meanrev,1,-0.7718
S00252,A069,trend,0,-1.4623
S00253,A091,meanrev,1,1.043
S00256,A094,breakout,0,0.9717
S00258,A093,breakout,0,0.8816
S00259,A017,breakout,0,1.0453
S00260,A085,trend,0,0.2514
S00261,A148,trend,1,-1.4158
S00262,A097,voltimer,1,0.174
S00264,A140,voltimer,0,1.3238
S00265,A013,breakout,1,2.9443
S00267,A103,voltimer,1,2.978
S00268,A113,breakout,0,-1.1104
S00269,A018,breakout,0,-2.6812
S00270,A009,trend,1,0.817
S00271,A124,trend,0,0.972
S00272,A085,voltimer,1,1.1547
S00273,A134,meanrev,1,2.2985
S00274,A108,trend,0,2.2583
S00275,A024,voltimer,0,1.3094
S00276,A090,trend,1,1.2284
S00279,A140,breakout,1,0.8614
S00282,A098,trend,0,1.0743
S00286,A108,voltimer,0,2.3246
S00291,A140,trend,0,0.3842
S00293,A098,voltimer,1,2.8224
S00294,A054,meanrev,1,1.614
S00295,A150,voltimer,1,0.9754
S00297,A141,breakout,1,1.2484
S00298,A001,meanrev,1,-0.3966
S00300,A105,trend,1,2.6638
S00301,A066,breakout,0,-1.0314
S00302,A039,breakout,0,0.2688
S00303,A018,breakout,0,-0.5393
S00307,A028,trend,0,-0.531
S00308,A098,voltimer,0,2.8656
S00310,A108,meanrev,0,0.0
S00311,A081,voltimer,1,2.3291
S00313,A082,breakout,1,2.9345
S00316,A100,meanrev,0,0.381
S00320,A049,meanrev,1,0.6118
S00322,A131,meanrev,0,0.5647
S00324,A018,meanrev,0,0.8731
S00327,A025,meanrev,0,-0.7745
S00328,A126,trend,0,1.3695
S00331,A141,meanrev,0,-0.1875
S00333,A126,breakout,0,0.9393
S00334,A153,voltimer,1,2.6954
S00336,A108,trend,1,1.4373
S00338,A091,meanrev,0,0.6539
S00341,A087,breakout,1,1.2319
S00346,A015,meanrev,0,0.5506
S00347,A041,voltimer,0,1.6605
S00348,A141,trend,0,0.3035
S00351,A046,meanrev,1,-0.2691
S00353,A153,breakout,0,1.4432
S00355,A074,voltimer,0,0.7403
S00356,A033,breakout,1,2.8077
S00359,A017,meanrev,1,-1.2067
S00360,A085,trend,0,0.0284
S00362,A037,breakout,0,1.6897
S00363,A103,breakout,0,0.6127
S00364,A116,voltimer,1,-1.1084
S00365,A055,voltimer,0,0.2781
S00367,A101,breakout,1,0.4902
S00369,A134,trend,0,0.1771
S00371,A074,breakout,0,1.4134
S00372,A086,trend,0,1.0161
S00373,A037,meanrev,0,0.0887
S00376,A037,voltimer,0,1.3277
S00377,A077,trend,1,2.4117
S00378,A150,meanrev,0,1.5987
S00379,A116,meanrev,0,-1.3899
S00380,A129,meanrev,0,-1.9199
S00384,A150,meanrev,0,0.9414
S00385,A026,breakout,0,-0.1084
S00387,A135,voltimer,0,0.5801
S00393,A051,trend,1,1.904
S00394,A113,breakout,1,-0.0501
S00395,A101,breakout,0,0.6642
S00396,A049,meanrev,1,2.2125
S00397,A030,breakout,1,2.2613
S00399,A094,trend,0,0.6366
S00402,A051,breakout,0,1.073
S00404,A101,trend,1,0.6536
S00406,A041,meanrev,1,-1.4183
S00407,A018,trend,0,0.4401
S00411,A040,voltimer,0,-2.5849
S00412,A092,voltimer,0,0.6816
S00414,A155,voltimer,0,0.353
S00415,A129,meanrev,0,-1.5749
S00418,A049,meanrev,0,2.3602
S00419,A150,breakout,1,-0.4172
S00420,A068,trend,0,1.7354
S00421,A142,voltimer,1,-0.6154
S00422,A021,trend,0,0.8089
S00424,A129,meanrev,0,-1.5548
S00425,A077,meanrev,0,2.776
S00427,A144,voltimer,0,0.5037
S00428,A026,breakout,0,0.8435
S00429,A004,trend,0,1.2007
S00430,A051,meanrev,1,0.7197
S00433,A142,trend,0,-1.6577
S00434,A020,trend,0,-0.783
S00436,A126,breakout,0,0.9393
S00437,A003,meanrev,1,-1.184
S00439,A082,trend,1,2.44
S00440,A098,voltimer,0,2.9037
S00441,A001,meanrev,1,-1.2981
S00442,A075,meanrev,0,0.1268
S00443,A042,trend,0,1.3551
S00445,A082,breakout,0,1.5711
S00448,A101,meanrev,0,0.472
S00450,A082,voltimer,0,2.3371
S00452,A051,voltimer,1,1.2475
S00453,A139,voltimer,0,0.3955
S00457,A066,meanrev,0,0.3335
S00458,A013,breakout,0,1.2471
S00459,A051,trend,1,1.3082
S00465,A051,meanrev,1,-1.4903
S00466,A015,voltimer,0,1.9281
S00470,A158,voltimer,1,1.3418
S00472,A020,breakout,0,0.4552
S00473,A155,meanrev,1,-0.1862
S00474,A074,breakout,0,1.9061
S00476,A138,meanrev,1,1.7286
S00478,A049,voltimer,0,0.0496
S00480,A126,meanrev,1,-0.2874
S00481,A097,trend,0,0.0428
S00486,A109,voltimer,1,2.2595
S00488,A114,meanrev,0,-2.251
S00489,A106,voltimer,0,0.6232
S00491,A109,breakout,0,-0.0384
S00492,A028,meanrev,0,-0.6169
S00493,A081,meanrev,1,0.7638
S00495,A095,voltimer,0,1.5418
S00497,A070,breakout,1,-0.2105
S00500,A013,meanrev,0,-1.4823
S00501,A071,trend,1,0.126
S00502,A116,breakout,0,-2.7601
S00504,A024,trend,1,-0.5926
S00505,A087,voltimer,0,0.511
S00506,A110,breakout,0,0.6263
S00507,A040,trend,0,-0.1705
S00508,A075,breakout,0,0.3342
S00511,A003,trend,1,-0.452
S00512,A153,breakout,1,2.0951
S00515,A086,trend,1,1.5752
S00517,A150,breakout,1,0.238
S00518,A024,trend,0,-0.5495
S00519,A148,voltimer,1,-1.3189
S00521,A090,trend,1,0.8084
S00523,A116,meanrev,0,-1.0109
S00526,A126,trend,1,0.7553
S00527,A153,breakout,0,0.7072
S00529,A158,breakout,0,0.911
S00530,A135,meanrev,0,-0.7277
S00533,A024,voltimer,0,-1.8155
S00534,A055,meanrev,0,-1.2066
S00535,A048,trend,1,-0.3742
S00536,A055,breakout,0,1.0206
S00539,A077,trend,1,2.1852
S00541,A046,trend,1,1.0297
S00542,A001,meanrev,1,0.5475
S00543,A141,trend,1,0.7401
S00544,A131,trend,1,1.5821
S00545,A041,voltimer,0,2.0993
S00546,A155,breakout,1,0.8123
S00547,A009,voltimer,0,1.356
S00548,A139,meanrev,1,0.5652
S00550,A042,trend,1,2.1783
S00551,A001,trend,1,1.2079
S00552,A141,voltimer,0,1.7114
S00553,A002,meanrev,0,1.7979
S00557,A158,breakout,0,0.911
S00560,A013,trend,0,0.0018
S00561,A142,meanrev,0,0.0372
S00562,A025,trend,0,1.3531
S00563,A087,trend,0,0.043
S00567,A114,voltimer,0,-1.0723
S00568,A108,breakout,1,1.5686
S00569,A131,voltimer,0,2.0148
S00570,A026,voltimer,0,0.5117
S00571,A015,trend,0,-1.3222
S00572,A126,meanrev,1,0.2822
S00574,A138,breakout,1,2.3073
S00577,A048,breakout,0,0.299
S00580,A046,trend,1,0.5154
S00581,A023,voltimer,1,0.7807
S00584,A092,meanrev,1,-1.5302
S00585,A064,meanrev,1,0.1898
S00588,A081,trend,0,0.0335
S00590,A095,breakout,0,1.2566
S00593,A087,trend,1,0.2588
S00594,A092,breakout,0,-0.3382
S00596,A026,breakout,1,1.014
S00599,A106,trend,0,-1.304
S00601,A075,meanrev,1,0.4253
S00602,A050,voltimer,1,2.0485
S00603,A144,trend,1,1.9803
S00604,A097,voltimer,0,0.1731
S00609,A052,trend,0,0.4493
S00612,A001,trend,1,1.615
S00613,A010,voltimer,0,1.3193
S00615,A111,meanrev,0,-0.2638
S00617,A070,trend,0,-0.7632
S00618,A050,trend,0,0.3111
S00619,A158,voltimer,0,-2.8287
S00623,A049,voltimer,0,-0.8354
S00624,A017,breakout,0,0.9528
S00628,A041,trend,1,0.6038
S00629,A041,meanrev,0,-0.542
S00630,A144,voltimer,1,2.2293
S00632,A004,breakout,0,1.1423
S00633,A068,meanrev,1,0.7579
S00636,A042,breakout,1,1.3514
S00637,A026,breakout,1,1.0471
S00638,A087,voltimer,0,-0.3061
S00642,A004,trend,0,1.172
S00643,A001,voltimer,0,-2.0716
S00644,A071,breakout,1,1.3057
S00649,A060,meanrev,0,-1.0474
S00651,A063,voltimer,1,1.8883
S00653,A068,voltimer,1,0.0941
S00654,A153,meanrev,1,1.8484
S00655,A158,voltimer,1,0.432
S00656,A017,breakout,0,1.0453
S00657,A124,voltimer,1,0.5459
S00658,A111,trend,1,0.7906
S00660,A111,trend,0,0.732
S00663,A063,meanrev,1,-0.3566
S00664,A048,breakout,1,1.216
S00666,A092,voltimer,1,-0.2389
S00669,A071,breakout,0,1.3402
S00670,A075,breakout,1,0.3329
S00672,A114,trend,1,-0.7833
S00673,A021,trend,0,0.5696
S00674,A039,trend,1,1.1137
S00675,A135,voltimer,1,1.3194
S00676,A108,meanrev,1,1.9064
S00677,A126,trend,0,0.4948
S00678,A140,breakout,0,0.9691
S00680,A049,meanrev,1,1.933
S00681,A143,voltimer,0,0.9768
S00682,A098,breakout,0,1.475
S00684,A092,meanrev,1,0.1295
S00685,A010,trend,0,1.5268
S00686,A070,breakout,0,0.7558
S00687,A113,breakout,1,-1.8784
S00688,A042,trend,0,0.8645
S00689,A068,meanrev,0,0.3663
S00690,A060,meanrev,0,-0.3629
S00692,A143,trend,0,0.4846
S00693,A020,meanrev,0,-1.0076
S00694,A113,trend,0,-0.5091
S00695,A126,trend,0,0.8348
S00697,A142,trend,0,-1.119
S00700,A126,meanrev,0,-0.2874
S00702,A010,trend,0,1.7756
S00703,A068,meanrev,0,0.638
S00704,A020,breakout,1,0.938
S00705,A160,trend,0,2.299
S00709,A075,trend,1,1.1391
S00712,A054,trend,0,0.8801
S00713,A134,meanrev,1,0.3256
S00714,A093,meanrev,0,-1.5841
S00715,A129,meanrev,1,0.1421
S00717,A017,trend,0,0.2371
S00718,A077,breakout,0,1.2055
S00719,A077,meanrev,0,1.39
S00720,A098,trend,1,0.2791
S00721,A110,meanrev,1,2.1639
S00722,A018,voltimer,1,0.1262
S00723,A004,voltimer,0,1.7567
S00724,A148,trend,0,-1.855
S00725,A114,meanrev,1,0.306
S00728,A040,meanrev,1,0.6266
S00729,A100,trend,1,1.7271
S00731,A108,trend,0,2.0781
S00733,A064,breakout,1,3.9058
S00734,A087,breakout,1,2.1507
S00736,A054,meanrev,0,1.3873
S00737,A101,voltimer,0,1.4652
S00738,A140,breakout,1,0.8614
S00739,A155,trend,1,0.0794
S00740,A105,breakout,0,1.7028
S00741,A050,voltimer,1,1.3399
S00743,A129,trend,1,2.266
S00746,A041,breakout,0,-0.4016
S00753,A116,trend,1,-0.8377
S00755,A092,breakout,1,-0.69
S00756,A041,breakout,1,1.2926
S00757,A052,trend,0,0.3905
S00758,A090,trend,0,1.5568
S00760,A050,trend,0,0.4468
S00765,A046,trend,0,-0.187
S00766,A135,breakout,1,1.069
S00769,A027,meanrev,0,-0.5528
S00772,A094,breakout,1,1.3347
S00775,A074,meanrev,0,-1.4567
S00776,A108,voltimer,1,1.5691
S00780,A066,voltimer,0,-2.0118
S00782,A079,voltimer,0,2.3957
S00783,A085,breakout,1,0.1242
S00784,A010,trend,0,1.8886
S00785,A131,trend,0,1.0132
S00788,A001,voltimer,1,-0.8357
S00790,A003,voltimer,0,-0.565
S00791,A003,trend,0,-0.5243
S00792,A010,meanrev,0,-1.3043
S00793,A082,meanrev,0,-0.6889
S00795,A052,breakout,1,0.5914
S00796,A033,meanrev,0,0.8434
S00798,A153,trend,1,0.9187
S00800,A001,breakout,0,0.552
S00802,A002,meanrev,0,1.4619
S00805,A049,voltimer,1,0.7945
S00806,A140,breakout,0,0.9691
S00807,A116,voltimer,1,1.0202
S00808,A003,voltimer,1,-0.4558
S00809,A041,breakout,0,0.3925
S00810,A114,meanrev,1,-2.2669
S00812,A151,voltimer,1,1.5645
S00813,A153,trend,0,0.9888
S00814,A063,trend,0,0.7334
S00815,A082,trend,0,1.3381
S00818,A041,meanrev,1,0.2742
S00820,A010,trend,1,1.8484
S00821,A142,voltimer,0,-2.0095
S00824,A039,meanrev,1,2.5216
S00826,A004,breakout,1,1.5562
S00829,A092,trend,0,-0.6359
S00832,A086,meanrev,0,0.4697
S00835,A100,meanrev,1,0.9704
S00836,A001,breakout,1,-0.1397
S00837,A030,voltimer,0,0.7307
S00838,A113,meanrev,0,2.1775
S00839,A093,breakout,0,0.8816
S00841,A025,voltimer,0,0.7764
S00842,A114,breakout,0,-0.4594
S00844,A091,trend,0,0.8511
S00847,A083,meanrev,0,-0.7783
S00848,A108,breakout,0,1.1364
S00849,A141,breakout,1,0.5219
S00850,A124,trend,1,0.3119
S00851,A044,trend,0,1.6293
S00852,A103,voltimer,0,0.6341
S00854,A044,voltimer,1,2.5428
S00855,A090,trend,0,1.7383
S00857,A070,meanrev,0,-1.0034
S00858,A051,trend,1,2.3407
S00859,A052,trend,1,1.379
S00861,A003,trend,1,0.5329
S00862,A075,voltimer,0,-0.3688
S00863,A144,meanrev,0,-0.2368
S00864,A013,breakout,1,1.82
S00866,A015,meanrev,0,0.8803
S00867,A010,trend,0,1.5667
S00868,A143,breakout,0,0.5295
S00869,A108,meanrev,1,1.1939
S00870,A142,voltimer,0,0.5416
S00872,A160,trend,0,1.3119
S00874,A095,trend,0,-0.0875
S00875,A081,trend,0,1.0457
S00876,A018,voltimer,0,-0.5473
S00877,A085,voltimer,0,0.9971
S00878,A051,trend,0,1.4651
S00879,A116,breakout,1,-2.7601
S00880,A050,trend,1,0.3976
S00881,A110,voltimer,1,-0.4279
S00884,A108,breakout,1,1.7247
S00887,A134,voltimer,0,0.3659
S00888,A090,trend,0,-0.0823
S00889,A139,trend,1,1.3361
S00892,A027,breakout,1,-0.6914
S00894,A069,meanrev,1,0.4266
S00895,A002,breakout,0,0.1634
S00896,A060,meanrev,1,0.3976
S00897,A039,meanrev,1,1.0721
S00898,A066,meanrev,0,1.5402
S00899,A050,meanrev,0,-0.0167
S00901,A074,trend,0,1.7382
S00902,A020,voltimer,0,-1.3312
S00904,A021,trend,1,1.3229
S00905,A103,trend,0,0.2427
S00906,A044,trend,1,2.4991
S00908,A039,trend,0,0.6516
S00909,A159,breakout,1,2.7154
S00910,A109,meanrev,1,1.3156
S00911,A004,trend,0,0.9159
S00912,A093,meanrev,1,-0.3078
S00915,A106,voltimer,1,1.8027
S00917,A135,meanrev,0,-0.7277
S00923,A079,breakout,1,1.3597
S00926,A030,trend,0,-0.4475
S00927,A079,trend,1,1.2343
S00929,A151,meanrev,0,-1.173
S00930,A094,voltimer,1,2.3308
S00931,A048,voltimer,0,0.9066
S00932,A071,meanrev,1,-1.3201
S00933,A144,voltimer,0,0.9649
S00934,A027,trend,1,-0.0361
S00935,A113,voltimer,0,0.5811
S00938,A155,breakout,0,0.3603
S00939,A020,voltimer,0,1.6667
S00944,A159,breakout,0,-0.3112
S00945,A041,voltimer,0,2.3242
S00946,A003,meanrev,0,-1.9889
S00947,A079,voltimer,0,1.8637
S00948,A060,breakout,0,2.3506
S00949,A027,breakout,1,-0.6132
S00950,A015,voltimer,0,-2.6556
S00951,A023,breakout,1,1.286
S00953,A159,meanrev,0,-0.3207
S00954,A024,voltimer,0,0.1203
S00955,A108,trend,1,1.9835
S00956,A135,trend,1,0.865
S00957,A141,breakout,0,0.4703
S00958,A094,meanrev,1,2.1497
S00959,A060,voltimer,0,1.6074
S00960,A139,trend,1,1.3848
S00963,A051,meanrev,1,0.9903
S00964,A139,voltimer,1,1.2279
S00965,A023,meanrev,1,-0.5993
S00968,A110,trend,1,0.6138
S00969,A142,voltimer,0,-0.2798
S00970,A141,breakout,1,0.9064
S00972,A160,breakout,0,1.2194
S00973,A106,trend,1,-1.5091
S00975,A003,trend,0,-0.4943
S00980,A033,voltimer,0,1.3672
S00981,A093,voltimer,0,0.2915
S00982,A033,voltimer,0,0.9612
S00983,A054,voltimer,1,0.3465
S00984,A111,breakout,1,1.6221
S00985,A021,meanrev,0,-0.1841
S00986,A153,voltimer,0,0.3221
S00987,A108,meanrev,1,2.2963
S00988,A077,voltimer,0,-0.4116
S00990,A115,voltimer,1,1.6263
S00991,A061,breakout,0,0.316
S00992,A124,voltimer,0,0.861
S00993,A017,voltimer,0,2.2163
S00996,A030,meanrev,0,-0.965
S00997,A050,trend,0,0.6027
S00998,A122,breakout,0,1.2613
S00999,A050,meanrev,1,1.3948
S01001,A109,breakout,1,1.5194
S01003,A068,breakout,0,1.5131
S01004,A093,voltimer,0,-0.0816
S01011,A110,breakout,1,1.5532
S01012,A103,breakout,1,0.7175
S01013,A074,meanrev,1,-0.0479
S01014,A027,meanrev,0,-0.1032
S01015,A061,breakout,0,0.9139
S01016,A074,breakout,1,1.4978
S01018,A143,voltimer,0,1.1235
S01019,A111,meanrev,0,0.3726
S01020,A144,voltimer,0,0.0684
S01021,A092,trend,0,-0.5451
S01022,A092,trend,0,-0.336
S01023,A094,breakout,0,1.244
S01024,A159,trend,1,1.667
S01025,A021,breakout,1,0.5706
S01027,A153,meanrev,0,1.3831
S01029,A040,trend,0,-0.5543
S01031,A068,breakout,1,1.8897
S01032,A002,voltimer,1,-1.1134
S01035,A111,meanrev,1,3.3867
S01036,A002,trend,0,-0.1765
S01038,A116,breakout,1,-1.8344
S01039,A004,breakout,0,1.1423
S01041,A023,meanrev,0,0.0212
S01042,A025,meanrev,1,-1.2994
S01043,A129,trend,0,1.7702
S01044,A004,meanrev,0,0.5531
S01045,A027,breakout,1,-0.6914
S01046,A048,breakout,1,0.4069
S01047,A083,trend,1,-0.6962
S01049,A054,breakout,1,1.1924
S01053,A037,trend,0,2.0707
S01055,A083,voltimer,1,0.2156
S01056,A003,trend,0,-0.4551
S01057,A105,trend,1,2.2277
S01062,A042,trend,1,0.532
S01064,A138,trend,1,-1.3857
S01065,A140,meanrev,1,2.2797
S01066,A140,breakout,0,0.9691
S01067,A024,trend,0,-0.7258
S01071,A126,breakout,1,1.2866
S01072,A082,meanrev,0,-0.7193
S01073,A113,meanrev,1,0.6742
S01074,A086,voltimer,0,-1.8176
S01075,A101,meanrev,0,1.7132
S01076,A049,meanrev,0,0.3585
S01077,A046,voltimer,0,1.4107
S01078,A048,trend,1,-0.2925
S01080,A091,trend,0,0.8911
S01086,A159,trend,0,-0.8011
S01087,A081,meanrev,0,1.2901
S01088,A095,meanrev,1,2.5175
S01089,A023,meanrev,0,2.0775
S01091,A151,breakout,1,1.9086
S01093,A095,breakout,0,1.2566
S01094,A114,trend,0,-0.8051
S01095,A009,trend,0,-0.7508
S01097,A100,voltimer,1,0.9554
S01099,A051,meanrev,0,-0.4435
S01100,A139,trend,0,0.9953
S01101,A039,breakout,1,0.1723
S01102,A055,breakout,0,-0.068
S01106,A109,breakout,0,0.1064
S01107,A115,trend,1,1.314
S01109,A158,meanrev,1,3.2704
S01111,A054,breakout,0,1.4914
S01114,A085,meanrev,0,-0.7549
S01116,A160,breakout,0,1.2029
S01117,A028,trend,0,-0.0669
S01118,A013,meanrev,0,-1.522
S01120,A090,meanrev,1,2.4679
S01121,A101,breakout,0,-0.291
S01122,A141,meanrev,0,-0.4509
S01124,A138,trend,1,-0.9967
S01125,A033,trend,0,2.4581
S01126,A050,voltimer,1,0.581
S01132,A159,breakout,0,0.9279
S01134,A124,breakout,1,0.7493
S01141,A091,trend,0,1.0007
S01143,A083,voltimer,0,-1.2145
S01144,A041,trend,1,1.4539
S01146,A085,meanrev,1,-0.7261
S01147,A093,trend,0,-0.3006
S01148,A122,voltimer,0,-0.5601
S01149,A155,voltimer,0,1.0147
S01152,A095,meanrev,0,2.4384
S01153,A124,meanrev,0,-0.7713
S01154,A115,meanrev,0,-1.8037
S01155,A159,meanrev,0,-0.0879
S01156,A052,meanrev,1,-1.7019
S01158,A095,breakout,0,0.3461
S01159,A124,voltimer,1,-0.1531
S01161,A091,voltimer,0,0.9693
S01165,A003,meanrev,0,-1.6741
S01166,A079,meanrev,0,0.8197
S01167,A010,trend,1,0.0272
S01169,A042,trend,0,-0.0221
S01170,A015,trend,0,-0.086
S01173,A086,meanrev,0,0.5193
S01175,A151,trend,0,1.3429
S01177,A009,meanrev,0,1.3857
S01178,A027,voltimer,0,-0.3208
S01180,A025,voltimer,1,1.3095
S01181,A002,trend,0,-1.4136
S01182,A020,trend,0,-0.2927
S01183,A086,meanrev,0,0.3489
S01185,A075,breakout,1,0.4853
S01188,A124,breakout,0,0.1886
S01189,A098,voltimer,0,2.8929
S01190,A092,meanrev,0,-0.949
S01191,A074,meanrev,0,-0.1903
S01192,A054,breakout,1,-0.0971
S01193,A030,voltimer,0,1.3518
S01194,A079,meanrev,0,0.7676
S01196,A037,voltimer,1,2.6282
S01198,A054,voltimer,0,0.0322
S01202,A063,breakout,0,0.6372
S01203,A105,trend,1,3.1755
S01204,A018,breakout,0,0.7625
S01207,A124,breakout,0,0.7784
S01208,A028,meanrev,1,3.2281
S01211,A155,meanrev,0,0.6647
S01214,A033,trend,0,2.4878
S01215,A141,voltimer,1,0.8986
S01217,A064,voltimer,1,2.1472
S01218,A024,voltimer,1,-0.0765
S01223,A001,voltimer,1,0.1861
S01224,A115,breakout,1,1.6457
S01225,A010,trend,0,1.5756
S01226,A028,trend,0,-0.0692
S01227,A155,breakout,0,1.0833
S01229,A001,voltimer,0,0.106
S01230,A159,trend,0,-1.3117
S01231,A091,trend,1,0.5824
S01235,A116,meanrev,1,0.6705
S01236,A018,breakout,1,0.7684
S01238,A055,meanrev,1,-1.2416
S01239,A093,breakout,0,1.4502
S01240,A060,trend,0,0.7651
S01242,A101,breakout,1,-0.4047
S01245,A134,meanrev,0,-1.0489
S01248,A009,trend,1,-0.1985
S01251,A009,meanrev,1,2.0493
S01252,A105,breakout,0,0.9172
S01253,A114,trend,0,-0.9493
S01254,A071,trend,0,1.8099
S01256,A040,voltimer,1,1.6001
S01257,A124,meanrev,0,0.4262
S01260,A103,voltimer,1,2.7688
S01261,A010,trend,0,1.512
S01262,A001,trend,0,0.8642
S01263,A126,meanrev,0,0.0037
