row_id,word,src_accent,source_pronunciation,tgt_accent,phonemes
train_000169,responsiveness,AU,ɹɪspɔnsɪvnɪs,RP,ɹɪspɒnsɪvnɪs
train_000170,folding,RP,fəʊldɪŋ,GA,foʊldɪŋ
train_000171,shadowy,GA,ʃædoʊi,RP,ʃædəʊi
train_000172,van,AU,væn,NZ,vɛn
train_000173,hummingbird,RP,hʌmɪŋbɜd,GA,hʌmɪŋbɜɹd
train_000174,phoneme,RP,fəʊnim,GA,foʊnim
train_000175,gramercy,RP,ɡɹəmɜsi,GA,ɡɹəmɝsi
train_000176,ethene,AU,eθin,RP,ɛθin
train_000177,junior,RP,d͡ʒuniə,GA,d͡ʒuniɚ
train_000178,scorned,RP,skɔnd,GA,skɔɹnd
train_000179,witchcraft,RP,wɪt͡ʃkɹɑft,GA,wɪt͡ʃkɹæft
train_000180,firecracker,GA,faɪəɹkɹækəɹ,RP,faɪəkɹækə
train_000181,sword,RP,sɔd,GA,soɹd
train_000182,drama,RP,dɹɑmə,GA,dɹɑmə
train_000183,manage,NZ,mɛnəd͡ʒ,AU,mænɪd͡ʒ
train_000184,outsource,RP,aʊtsɔs,NZ,æʊtsos
train_000185,clout,RP,klaʊt,AU,klæɔt
train_000186,nontrinitarian,RP,nɒntɹɪnɪtɛəɹiən,GA,nɑntɹɪnɪtɛɹiən
train_000187,intellect,RP,ɪntəlɛkt,GA,ɪntəlɛkt
train_000188,parsnip,GA,pɑɹsnɪp,RP,pɑsnɪp
train_000189,can,RP,kæn,AU,kæn
train_000190,securities,GA,səkjʊɹɪtiz,RP,sɪkjʊəɹɪtiz
train_000191,fearful,RP,fɪəfəl,NZ,fiəfəl
train_000192,exercise,NZ,eksəsaɪz,GA,ɛksɚsaɪz
train_000193,cooler,RP,kuləɹ,GA,kulɚ
train_000194,urban,AU,œbən,GA,ɝbən
train_000195,hypothesize,GA,haɪpɑθəsaɪz,NZ,haɪpɒθəsaɪz
train_000196,harken,GA,hɑɹkən,RP,hɑkən
train_000197,lunar,AU,lʉnə,RP,lunə
train_000198,gaw,RP,ɡɔ,GA,ɡɔ
train_000199,koine,GA,kɔɪneɪ,RP,kɔɪneɪ
train_000200,potlatch,GA,pɑtlæt͡ʃ,RP,pɒtlætʃ
train_000201,rile,NZ,ɹaɪl,AU,ɹɑel
train_000202,consense,AU,kənsens,RP,kənsɛns
train_000203,alderman,AU,oldəmən,RP,ɔldəmən
train_000204,square,AU,skwe,RP,skwɛə
train_000205,profitably,GA,pɹɑfɪtəbli,RP,pɹɒfɪtəbli
train_000206,byre,GA,baɪɚ,RP,baɪə
train_000207,metic,RP,mɛtɪk,GA,mɛtək
train_000208,philanthropy,AU,fɪlænθɹəpi,NZ,fəlɛnθɹəpi
train_000209,assuredly,RP,əʃʊəɹɪdli,GA,əʃʊɹɪdli
train_000210,ascertainable,GA,æsɚteɪnəbl̩,RP,æsəteɪnəbl̩
train_000211,knocker,AU,nɔkə,RP,nɒkə
train_000212,cat,NZ,kɛt,GA,kæt
train_000213,regale,NZ,ɹəɡæɪl,RP,ɹɪɡeɪl
train_000214,paroxetine,RP,pəɹɒksətin,GA,pəɹɑksətin
train_000215,convenience,GA,kənvinjəns,RP,kənvinɪəns
train_000216,funeral,RP,fjunəɹəl,GA,fjunəɹəl
train_000217,hyper,RP,haɪpə,GA,haɪpəɹ
train_000218,impairment,RP,ɪmpɛəmənt,AU,ɪmpemənt
train_000219,disport,RP,dɪspɔt,GA,dəspɔɹt
train_000220,quadruped,RP,kwɒdɹəpɛd,GA,kwɑdɹəpɛd
train_000221,told,AU,tɐʉld,RP,təʊld
train_000222,purgation,RP,pɜɡeɪʃn,GA,pɜɹɡeɪʃn
train_000223,homeostasis,GA,hoʊmioʊsteɪsɪs,RP,hɒmɪəʊsteɪsɪs
train_000224,shorter,RP,ʃɔtə,GA,ʃɔɹtɚ
train_000225,adjudicate,GA,əd͡ʒudɪkeɪt,RP,əd͡ʒudɪkeɪt
train_000226,nerf,GA,nɝf,RP,nɜf
train_000227,careless,NZ,kiələs,RP,kɛəlɪs
train_000228,arbitrary,RP,ɑbɪtɹəɹi,GA,ɑɹbɪtɹɛɹi
train_000229,work,RP,wɜk,AU,wɵk
train_000230,conferred,AU,kənfɜd,NZ,kənfød
train_000231,brainstorm,GA,bɹeɪnstɔɹm,RP,bɹeɪnstɔm
train_000232,derail,RP,diɹeɪl,GA,diɹeɪl
train_000233,relaxation,GA,ɹilækseɪʃən,AU,ɹilæksæɪʃən
train_000234,luminary,NZ,lʉmənəɹi,GA,lumənɛɹi
train_000235,cur,GA,kɝ,RP,kɜ
train_000236,immortal,GA,ɪmɔɹtəl,RP,ɪmɔtəl
train_000237,trumpeter,RP,tɹʌmpɪtə,GA,tɹʌmpɪtɚ
train_000238,frolic,RP,fɹɒlɪk,GA,fɹɑlɪk
train_000239,contradict,GA,kɑntɹədɪkt,RP,kɒntɹədɪkt
train_000240,bareness,AU,benəs,GA,bɛɚnəs
train_000241,clobber,GA,klɑbɚ,RP,klɒbəɹ
train_000242,endured,RP,ɪndjʊəd,GA,ɪndʊɹd
train_000243,lasagna,GA,ləzænjə,NZ,lɘsɐnjɘ
train_000244,broom,GA,bɹum,RP,bɹum
train_000245,coordination,NZ,kɐʉodənæɪʃən,RP,kəʊɔdɪneɪʃən
train_000246,auk,RP,ɔk,GA,ɔk
train_000247,cisalpine,RP,sɪsælpaɪn,GA,sɪsælpaɪn
train_000248,wonted,RP,wəʊntɪd,GA,wɔntɪd
train_000249,explosive,AU,ekspləʉsɪv,NZ,eksplɐʉsəv
train_000250,directions,RP,dɪɹɛkʃənz,NZ,dəɹekʃənz
train_000251,dumper,GA,dʌmpɚ,RP,dʌmpə
train_000252,thunderbox,RP,θʌndəbɒks,GA,θʌndɚbɑks
train_000253,horse,RP,hɔs,GA,hoɹs
train_000254,extensively,GA,ɪkstɛnsɪvli,RP,ɪkstɛnsɪvli
train_000255,yesterday,RP,jɛstədeɪ,GA,jɛstɹdeɪ
train_000256,parent,NZ,peəɹənt,GA,pɛəɹənt
train_000257,machine,RP,məʃin,AU,məʃin
train_000258,directors,RP,dɪɹɛktəz,GA,dɪɹɛktɚz
train_000259,postprandial,GA,poʊstpɹændiəl,RP,pəʊstpɹandɪəl
train_000260,zoonotic,RP,zəʊənɒtɪk,NZ,zɐʉɘnɔtɘk
train_000261,swat,AU,swɔt,GA,swɑt
train_000262,prospectus,RP,pɹəspɛktəs,AU,pɹəspektəs
train_000263,passage,NZ,pɛsəd͡ʒ,AU,pæsəd͡ʒ
train_000264,devote,GA,dɪvoʊt,RP,dɪvəʊt
train_000265,metallurgy,GA,mɛtəlɝd͡ʒi,RP,mɪtæləd͡ʒi
train_000266,galore,AU,ɡəlo,RP,ɡəlɔ
train_000267,inconclusive,AU,ɪnkənklʉsɪv,NZ,ənkənklʉsəv
train_000268,intellect,AU,ɪntəlekt,GA,ɪntəlɛkt
train_000269,bird,RP,bɜd,AU,bɜd
train_000270,proboscis,NZ,pɹɐʉbɒskəs,GA,pɹoʊbɑskɪs
train_000271,nightclothes,GA,naɪtkloʊðz,RP,naɪtkləʊðz
train_000272,cochlear,AU,kɔkliə,RP,kɒkliə
train_000273,shire,GA,ʃaɪəɹ,RP,ʃaɪə
train_000274,narcokleptocracy,GA,nɑɹkoʊklɛptɑkɹəsi,RP,nɑkəʊklɛptɒkɹəsi
train_000275,features,GA,fit͡ʃɚz,RP,fitʃəz
train_000276,perspire,RP,pəspaɪəɹ,GA,pɚspaɪɹ
train_000277,shadowy,RP,ʃædəʊi,GA,ʃædoʊi
train_000278,mirror,GA,miɹɚ,NZ,məɹə
train_000279,public,RP,pʌblɪk,AU,pɐblɪk
train_000280,licence,AU,lɑesəns,RP,laɪsəns
train_000281,glare,GA,ɡlɛɚ,AU,ɡle
train_000282,obsolescence,NZ,ɒbsəlesəns,RP,ɒbsəlɛsəns
train_000283,aptronym,GA,æptɹoʊnɪm,RP,æptɹəʊnɪm
train_000284,chronic,AU,kɹɔnɪk,GA,kɹɑnɪk
train_000285,obfuscate,RP,ɒbfəskeɪt,NZ,ɒbfəskæɪt
train_000286,shod,RP,ʃɒd,GA,ʃɑd
train_000287,comparing,AU,kəmpeɹɪŋ,RP,kəmpɛəɹɪŋ
train_000288,foreclose,AU,fokləʉz,RP,fɔkləʊz
train_000289,losing,AU,lʉzɪŋ,RP,luzɪŋ
train_000290,okrug,RP,ɒkrʌɡ,GA,ɑkrʌɡ
train_000291,cohort,GA,koʊ̯hɔɹt,RP,kəʊ̯hɔt
train_000292,dictatorship,AU,dɪktæɪtəʃɪp,NZ,dəktæɪtəʃəp
train_000293,compared,AU,kəmped,RP,kəmpɛəd
train_000294,cycle,NZ,saɪkəl,AU,sɑekəl
train_000295,work,NZ,wøk,RP,wɜk
train_000296,matters,NZ,mɛtəz,RP,mætəz
train_000297,paddock,GA,pædək,RP,pædək
train_000298,twister,GA,twɪstəɹ,RP,twɪstə
train_000299,grasping,RP,ɡɹɑspɪŋ,GA,ɡɹæspɪŋ
train_000300,accomplish,NZ,əkɐmpləʃ,GA,əkɑmplɪʃ
train_000301,xenomorph,RP,zɛnəʊmɔf,GA,zɛnəʊmɔɹf
train_000302,pool,RP,pul,AU,pʉl
train_000303,ere,RP,ɛə,NZ,eə
train_000304,doer,RP,duə,GA,duɚ
train_000305,blank,NZ,blɛŋk,AU,blænk
train_000306,broken,RP,bɹəʊkn̩,GA,bɹoʊkɪn
train_000307,songs,AU,sɔŋz,RP,sɒŋz
train_000308,cohesion,NZ,kɐʉhiʒən,AU,kəʉhiʒən
train_000309,antelope,GA,æntɪloʊp,RP,æntɪləʊp
train_000310,fellow,RP,fɛləʊ,AU,feləʉ
train_000311,saver,RP,seɪvə,GA,seɪvəɹ
train_000312,fundraiser,GA,fʌndɹeɪzɚ,RP,fʌndɹeɪzə
train_000313,boarder,GA,bɔɹdɚ,RP,bɔdə
train_000314,prop,RP,pɹɒp,GA,pɹɑp
train_000315,operate,RP,ɒpəɹeɪt,GA,ɑpəɹeɪt
train_000316,normative,RP,nɔmətɪv,NZ,nomətəv
train_000317,putto,RP,pʊtəʊ,GA,pʊtoʊ
train_000318,landlocked,RP,lændlɒkt,GA,lændlɑkt
train_000319,oxygen,GA,ɑksɪd͡ʒən,RP,ɒksɪd͡ʒən
train_000320,chthonic,GA,θɑnɪk,RP,kθɒnɪk
train_000321,scornful,GA,skɔɹnfəl,RP,skɔnfəl
train_000322,cheerio,AU,tʃɪəɹiəʉ,RP,tʃɪəɹiəʊ
train_000323,clearing,GA,klɪɹɪŋ,NZ,kliəɹɪŋ
train_000324,shag,AU,ʃæɡ,RP,ʃæɡ
train_000325,scalable,AU,skæɪləbl̩,RP,skeɪləbl̩
train_000326,kitchen,RP,kɪt͡ʃɪn,GA,kɪt͡ʃən
train_000327,invariance,AU,ɪnveɹiəns,RP,ɪnvɛəɹiəns
train_000328,compensate,GA,kɑmpənseɪt,AU,kɔmpensæɪt
train_000329,pretty,NZ,pɹəti,RP,pɹɪti
train_000330,receptive,GA,ɹəsɛptɪv,RP,ɹɪsɛptɪv
train_000331,organically,RP,ɔɡænɪkli,NZ,oɡɛnəkli
train_000332,decent,GA,disənt,NZ,disənt
train_000333,abbey,NZ,ɛbi,RP,æbi
train_000334,difference,NZ,dəfəɹəns,RP,dɪfəɹəns
train_000335,container,RP,kənteɪnə,GA,kənteɪnəɹ
train_000336,prevocalic,GA,pɹivoʊkælɪk,NZ,pɹivɐʉkɛlək
train_000337,fieldfare,RP,fildfɛ,GA,fildfɛɹ
train_000338,alongside,NZ,əlɒŋsaɪd,AU,əlɔŋsɑed
train_000339,turban,GA,tɝbən,RP,tɜbən
train_000340,vehement,RP,viəmənt,GA,vihəmənt
train_000341,dromedary,RP,dɹɒmɪdəɹi,GA,dɹɑmədɛɹi
train_000342,serviceable,GA,sɝvɪsəbl̩,RP,sɜvɪsəbl̩
train_000343,sarin,RP,sɑɹɪn,GA,sɑɹən
train_000344,misperception,GA,mɪspɚsɛpʃən,AU,mɪspəsepʃən
train_000345,convocation,GA,kɑnvəkeɪʃən,RP,kɒnvəkeɪʃən
train_000346,granular,NZ,ɡɹɛnjələɹ,AU,ɡɹænjələɹ
train_000347,cocky,GA,kɑki,AU,kɔki
train_000348,pastille,RP,pæstɪl,GA,pæstil
train_000349,horror,NZ,hɒɹə,RP,hɒɹə
train_000350,with,GA,wɪθ,AU,wɪð
train_000351,intellect,RP,ɪntəlɛkt,AU,ɪntəlekt
train_000352,yeoman,AU,jəʉmən,NZ,jɐʉmən
train_000353,certify,NZ,søtəfɑe,RP,sɜtɪfaɪ
train_000354,sunburn,RP,sʌnbɜn,GA,sʌnbɝn
train_000355,phonemic,GA,fənimɪk,RP,fənimɪk
train_000356,licence,NZ,laɪsəns,RP,laɪsəns
train_000357,abjectly,RP,æbd͡ʒɛktli,GA,æbd͡ʒɛktli
train_000358,irregular,RP,ɪɹɛɡjʊlə,AU,ɪɹeɡjələ
train_000359,cofferdam,RP,kɒfədæm,GA,kɑfɚdæm
train_000360,aerospace,NZ,eɹɐʉspæɪs,GA,ɛɹoʊspeɪs
train_000361,operational,RP,ɒpəɹeɪʃənəl,AU,ɔpəɹæɪʃənəl
train_000362,ululation,RP,juljʊleɪʃən,GA,juljuleɪʃən
train_000363,crystallography,RP,kɹɪstəlɒɡɹəfi,GA,kɹɪstəlɑɡɹəfi
train_000364,verdict,NZ,vødəkt,AU,vɜdɪkt
train_000365,sonic,GA,sɑnɪk,AU,sɔnɪk
train_000366,scare,RP,skɛə,AU,ske
train_000367,incomparable,RP,ɪŋkɒmpərəbəl,GA,ɪŋkɑmpəɹəbəl
train_000368,stagnation,GA,stæɡneɪʃən,RP,stæɡneɪʃn̩
train_000369,jetty,GA,d͡ʒɛti,RP,d͡ʒɛti
train_000370,competitive,GA,kəmpɛtətɪv,RP,kəmpɛtɪtɪv
train_000371,reward,RP,ɹɪwɔd,GA,ɹɪwɔɹd
train_000372,impute,NZ,əmpjʉt,RP,ɪmpjut
train_000373,fellowship,RP,fɛləʊʃɪp,GA,fɛləʃɪp
train_000374,frank,AU,fɹæŋk,NZ,fɹɛŋk
train_000375,portray,GA,poɹtɹeɪ̯,RP,pɔtɹeɪ̯
train_000376,emphysema,RP,ɛmfɪsimə,GA,ɛmfɪsimə
train_000377,posit,AU,pɔzɪt,NZ,pɒzət
train_000378,acidosis,RP,æsɪdəʊsɪs,GA,æsɪdoʊsɪs
train_000379,devotional,RP,dɪvəʊʃənəl,GA,dɪvoʊʃənəl
train_000380,uses,AU,jʉsɪz,RP,jusɪz
train_000381,proceed,GA,pɹəsid,RP,pɹəsid
train_000382,boot,AU,bʉt,GA,but
train_000383,intolerant,RP,ɪntɒləɹənt,GA,ɪntɑləɹənt
train_000384,iconic,GA,aɪkɑnɪk,NZ,aɪkɒnɪk
train_000385,panda,GA,pændə,AU,pændə
train_000386,hunters,RP,hʌntəz,GA,hʌntɚz
train_000387,excursion,GA,ɛkskɝʒən,AU,ekskɜʃən
train_000388,cared,AU,ked,NZ,keəd
train_000389,yeoman,GA,joʊmən,AU,jəʉmən
train_000390,photobiont,GA,foʊtoʊbaɪɑnt,RP,fəʊtəʊbaɪɒnt
train_000391,opprobrium,RP,əpɹəʊbɹɪəm,GA,əpɹoʊbɹiəm
train_000392,nocturnal,RP,nɒktɜnəl,AU,nɔktɜnəl
train_000393,border,RP,bɔdə,GA,bɔɹdɚ
train_000394,ambulate,GA,æmbjuleɪt,RP,æmbjʊleɪt
train_000395,thorp,RP,θɔp,GA,θɔɹp
train_000396,liberator,RP,lɪbəɹeɪtə,GA,lɪbəɹeɪtəɹ
train_000397,qualitative,AU,kwɔlətæɪtɪv,GA,kwɑləteɪtɪv
train_000398,spatial,AU,spæɪʃəl,RP,speɪʃəl
train_000399,rule,RP,ɹul,AU,ɹʉl
train_000400,consciousness,GA,kɑnʃəsnəs,AU,kɔnʃəsnəs
